tournament_key,tournament_name,category,start_date,end_date,player_id,player_name,nationality,player_type_code,player_type_desc,match_type_code,match_type_desc,event_classification_code,event_classification_desc,matches_played,wins,losses,round_robin_position,round_robin_group_size,round_robin_group_complete,round_robin_matches_played,round_robin_wins,round_robin_losses,elimination_matches_seen,highest_round_order,highest_round_name,last_match_id,last_match_status,status,live_points,collected_at
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800753225,hanying WU,CHN,G,Girls,D,Doubles,M,Main Draw,1,1,0,,,false,0,0,0,2,2,Quarter-finals,2124557122,To be played,still_alive_or_champion,,2026-09-08T23:55:21.153Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800749489,Hao Cheng Yu,CHN,B,Boys,D,Doubles,M,Main Draw,1,0,1,,,false,0,0,0,1,1,1st Round,2124557115,Played and completed,eliminated,,2026-09-08T23:55:21.152Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800818055,Hayden Mundy,GBR,B,Boys,D,Doubles,M,Main Draw,1,0,1,,,false,0,0,0,1,1,1st Round,2124557111,Played and completed,eliminated,,2026-09-08T23:55:21.152Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800656033,ISABELA DE MATTOS SILVA,BRA,G,Girls,D,Doubles,M,Main Draw,1,0,1,,,false,0,0,0,1,1,1st Round,2124557130,Played and completed,eliminated,,2026-09-08T23:55:21.153Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800695525,Isolde Brennan,IRL,G,Girls,D,Doubles,M,Main Draw,1,0,1,,,false,0,0,0,1,1,1st Round,2124557127,Played and completed,eliminated,,2026-09-08T23:55:21.153Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800765109,Itai Shefner,ISR,B,Boys,D,Doubles,M,Main Draw,1,0,1,,,false,0,0,0,1,1,1st Round,2124557116,Played and completed,eliminated,,2026-09-08T23:55:21.152Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800715977,Iva Ivankovic,SUI,G,Girls,D,Doubles,M,Main Draw,0,0,0,,,false,0,0,0,2,2,Quarter-finals,2124557122,To be played,not_started_or_unknown,,2026-09-08T23:55:21.153Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800589059,Ivan Matveev,RUS,B,Boys,D,Doubles,M,Main Draw,1,1,0,,,false,0,0,0,2,2,Quarter-finals,2124557110,To be played,still_alive_or_champion,,2026-09-08T23:55:21.152Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800717092,Javier Martinez Nohales,ESP,B,Boys,D,Doubles,M,Main Draw,1,0,1,,,false,0,0,0,1,1,1st Round,2124557112,Played and completed,eliminated,,2026-09-08T23:55:21.152Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800747931,Jiacheng Li,CHN,B,Boys,D,Doubles,M,Main Draw,1,1,0,,,false,0,0,0,2,2,Quarter-finals,2124557107,To be played,still_alive_or_champion,,2026-09-08T23:55:21.152Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800664388,Joan Rosello Vives,ESP,B,Boys,D,Doubles,M,Main Draw,1,1,0,,,false,0,0,0,2,2,Quarter-finals,2124557108,To be played,still_alive_or_champion,,2026-09-08T23:55:21.152Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800679017,Juan Esteban Inostroza Alfaro,CHI,B,Boys,D,Doubles,M,Main Draw,1,0,1,,,false,0,0,0,1,1,1st Round,2124557117,Played and completed,eliminated,,2026-09-08T23:55:21.152Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800751970,KAITO TOKUKURA,JPN,B,Boys,D,Doubles,M,Main Draw,1,0,1,,,false,0,0,0,1,1,1st Round,2124557116,Played and completed,eliminated,,2026-09-08T23:55:21.152Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800675655,Karina Maria Macarie,ROU,G,Girls,D,Doubles,M,Main Draw,1,1,0,,,false,0,0,0,2,2,Quarter-finals,2124557124,To be played,still_alive_or_champion,,2026-09-08T23:55:21.153Z
