tournament_key,tournament_name,category,start_date,end_date,player_id,player_name,nationality,player_type_code,player_type_desc,event_type,event_classification,matches_played,wins,losses,highest_round_order,highest_round_name,total_rounds_in_draw,calculated_round_label,status,live_points_raw,live_points_weighted,collected_at
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800647681,Hanne Estrada Cortes,MEX,G,Girls,doubles,main_draw,0,0,0,1,1st Round,4,R16,not_started_or_unknown,18,4.5,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800692700,Harold Ronaldo Andre Cotom Hidalgo,GUA,B,Boys,doubles,main_draw,0,0,0,1,1st Round,4,R16,not_started_or_unknown,18,4.5,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800734188,Indra Vergne,USA,B,Boys,doubles,main_draw,0,0,0,1,1st Round,4,R16,not_started_or_unknown,18,4.5,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800870564,Ines Ruano Gonzalez,GUA,G,Girls,doubles,main_draw,0,0,0,1,1st Round,4,R16,not_started_or_unknown,18,4.5,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800693874,Jerry Han,CAN,B,Boys,doubles,main_draw,0,0,0,1,1st Round,4,R16,not_started_or_unknown,18,4.5,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800812344,Jorge Rodrigo Estevez Urizar,GUA,B,Boys,doubles,main_draw,0,0,0,1,1st Round,4,R16,not_started_or_unknown,18,4.5,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800768634,Jose Anibal Martinez Mendoza,GUA,B,Boys,doubles,main_draw,0,0,0,1,1st Round,4,R16,not_started_or_unknown,18,4.5,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800681137,Jose Lopez,GUA,B,Boys,doubles,main_draw,0,0,0,1,1st Round,4,R16,not_started_or_unknown,18,4.5,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800767029,Julian Garcia,GUA,B,Boys,doubles,main_draw,0,0,0,1,1st Round,4,R16,not_started_or_unknown,18,4.5,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800856763,Katia Maria Pemueller,GUA,G,Girls,doubles,main_draw,0,0,0,1,1st Round,4,R16,not_started_or_unknown,18,4.5,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800651897,Kendrick Lambrano Suarez,COL,B,Boys,doubles,main_draw,0,0,0,1,1st Round,4,R16,not_started_or_unknown,18,4.5,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800692269,Laura Carvalho e Silva Kracke,IRL,G,Girls,doubles,main_draw,0,0,0,1,1st Round,4,R16,not_started_or_unknown,18,4.5,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800719587,LUCIANA MEJIA ARCE,GUA,G,Girls,doubles,main_draw,0,0,0,1,1st Round,4,R16,not_started_or_unknown,18,4.5,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800675480,Maria Fernanda Poma Coronado,PER,G,Girls,doubles,main_draw,0,0,0,1,1st Round,4,R16,not_started_or_unknown,18,4.5,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800719518,Mario Lopez,GUA,B,Boys,doubles,main_draw,0,0,0,1,1st Round,4,R16,not_started_or_unknown,18,4.5,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800767031,Martin Garcia,GUA,B,Boys,doubles,main_draw,0,0,0,1,1st Round,4,R16,not_started_or_unknown,18,4.5,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800851749,Matias Gonzalez Ordonez,GUA,B,Boys,doubles,main_draw,0,0,0,1,1st Round,4,R16,not_started_or_unknown,18,4.5,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800753060,Matias Quintero Tobon,COL,B,Boys,doubles,main_draw,0,0,0,1,1st Round,4,R16,not_started_or_unknown,18,4.5,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800718989,Niccolo Magagnin,ITA,B,Boys,doubles,main_draw,0,0,0,1,1st Round,4,R16,not_started_or_unknown,18,4.5,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800710161,Nicolas Brandao,BRA,B,Boys,doubles,main_draw,0,0,0,1,1st Round,4,R16,not_started_or_unknown,18,4.5,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800870351,Paulina Gaviria,COL,G,Girls,doubles,main_draw,0,0,0,1,1st Round,4,R16,not_started_or_unknown,18,4.5,2026-06-03T03:36:09.867Z
