player_id,player_name,gender,country,birth_year,official_rank,live_rank,rank_change_vs_official,official_points,live_points,points_change_vs_official,live_rows_available,live_raw_points_available,live_singles_results_counting,live_doubles_results_counting,best_singles_1,best_singles_2,best_singles_3,best_doubles_1,best_doubles_2,best_doubles_3,calculated_at
800596150,Matisse MARTIN,M,FRA,2009,146,124,22,516,568.5,52.5,2,180,1,1,140 pts | BASE | J200 | RU | J200 Cap d'Ail | 2026-03-30,100 pts | BASE | J200 | SF | J200 Salsomaggiore | 2026-04-27,90 pts | LIVE | JGS | R32 | Roland Garros Junior Championships | 2026-05-31,90 pts | LIVE | JGS | R32 | Roland Garros Junior Championships | 2026-05-31,45 pts | BASE | J100 | RU | J100 Nicosia | 2025-11-10,45 pts | BASE | J60 | WR | J60 Pescara | 2025-09-29,2026-06-02T23:19:32.282Z
800753060,Matias Quintero Tobon,M,COL,2009,469,451,18,168.25,177.25,9,2,36,1,1,36 pts | BASE | J60 | RU | J60 Cartagena | 2025-09-01,30 pts | BASE | J30 | WR | J30 Panama | 2025-08-25,18 pts | LIVE | J100 | R16 | J100 Guatemala | 2026-06-01,45 pts | BASE | J60 | WR | J60 Santa Tecla | 2026-05-18,27 pts | BASE | J60 | RU | J60 Santa Tecla | 2026-05-25,27 pts | BASE | J200 | R16 | J200 Bogota | 2025-07-14,2026-06-02T23:19:32.291Z
800647681,Hanne Estrada Cortes,F,MEX,2009,263,246,17,357,375,18,2,36,1,0,60 pts | BASE | J100 | RU | J100 Luque | 2026-04-06,60 pts | BASE | J200 | QF | J200 Asuncion | 2026-03-30,60 pts | BASE | J200 | QF | J200 Veracruz | 2025-06-23,157 pts | BASE | J300 | RU | J300 Asuncion (Junior Pan American Games) | 2025-08-11,75 pts | BASE | J300 | QF | J300 Tucson | 2026-03-09,75 pts | BASE | J200 | SF | J200 Santa Cruz | 2025-11-03,2026-06-02T23:19:32.296Z
800651243,Kaan Isik Kosaner,M,TUR,2009,88,72,16,723,848.75,125.75,2,270,1,1,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,140 pts | BASE | J200 | RU | J200 Piestany | 2026-04-14,100 pts | BASE | J100 | WR | J100 Istanbul | 2026-01-05,225 pts | BASE | J300 | WR | J300 Nonthaburi | 2026-03-02,135 pts | BASE | JGS | R16 | Australian Open Junior Championships | 2026-01-24,90 pts | LIVE | JGS | R32 | Roland Garros Junior Championships | 2026-05-31,2026-06-02T23:19:32.278Z
800664509,Pablo Pradat,M,FRA,2010,228,212,16,357.5,388.75,31.25,2,120,1,1,60 pts | BASE | J200 | QF | J200 Cap d'Ail | 2026-03-30,60 pts | BASE | J200 | QF | J200 Hammamet | 2026-01-13,60 pts | BASE | J100 | RU | J100 Balma | 2025-10-20,157 pts | BASE | J300 | RU | J300 Charleroi-Marcinelle | 2026-05-25,90 pts | LIVE | JGS | R32 | Roland Garros Junior Championships | 2026-05-31,45 pts | BASE | J200 | QF | J200 Prato | 2026-05-05,2026-06-02T23:19:32.284Z
800685082,Daniel Baranes,F,FRA,2011,226,210,16,401.5,427.25,25.75,2,120,1,1,90 pts | BASE | J500 | R16 | J500 Gaspar | 2026-03-16,60 pts | BASE | J300 | R16 | J300 Porto Alegre | 2026-03-09,60 pts | BASE | J300 | R16 | J300 New Delhi | 2026-01-05,105 pts | BASE | J200 | RU | J200 Targu Jiu | 2026-05-18,105 pts | BASE | J200 | RU | J200 Gurugram | 2026-01-12,90 pts | LIVE | JGS | R32 | Roland Garros Junior Championships | 2026-05-31,2026-06-02T23:19:32.295Z
800654119,Connor Doig,M,RSA,2008,63,50,13,901.75,1048,146.25,2,360,1,1,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,100 pts | BASE | J300 | QF | J300 Cairo | 2026-03-30,100 pts | BASE | J300 | QF | J300 Casablanca | 2026-02-09,750 pts | BASE | JGS | WR | Australian Open Junior Championships | 2026-01-24,262 pts | BASE | J500 | RU | J500 Cairo | 2026-04-06,"225 pts | BASE | JGS | QF | The Junior Championships, Wimbledon | 2025-07-05",2026-06-02T23:19:32.278Z
800706118,Ariana Ikwueme,F,USA,2009,377,365,12,241.25,253.75,12.5,2,36,1,1,60 pts | BASE | J60 | WR | J60 Santo Domingo | 2025-09-29,45 pts | BASE | J500 | R32 | J500 Fort Lauderdale | 2025-12-08,36 pts | BASE | J200 | R16 | J200 Punta Cana | 2026-02-09,67 pts | BASE | J500 | R16 | J500 Fort Lauderdale | 2025-12-08,45 pts | BASE | J200 | QF | J200 Woodbridge | 2026-04-07,27 pts | BASE | J60 | RU | J60 Boca Raton | 2025-10-27,2026-06-02T23:19:32.299Z
800595691,Sonja Zhenikhova,F,GER,2008,67,57,10,914.25,970.5,56.25,2,210,1,1,140 pts | BASE | J300 | SF | J300 Oberpullendorf (Europe Regional Championships) | 2025-09-15,90 pts | BASE | J500 | R16 | J500 Cairo | 2026-04-06,90 pts | BASE | JGS | R32 | Roland Garros Junior Championships | 2025-06-01,750 pts | BASE | JGS | WR | Roland Garros Junior Championships | 2025-06-01,375 pts | BASE | J500 | WR | J500 Cairo | 2026-04-06,367 pts | BASE | JGS | SF | US Open Junior Tennis Championships | 2025-08-31,2026-06-02T23:19:32.279Z
800583809,Damien Clerc,M,FRA,2008,158,148,10,489.5,512,22.5,1,90,0,1,100 pts | BASE | J200 | SF | J200 Oslo | 2025-11-24,100 pts | BASE | J200 | SF | J200 Mugla | 2025-09-29,60 pts | BASE | J200 | QF | J200 Salsomaggiore | 2026-04-27,150 pts | BASE | J200 | WR | J200 Szekesfehervar | 2025-10-22,90 pts | LIVE | JGS | R32 | Roland Garros Junior Championships | 2026-05-31,75 pts | BASE | J200 | SF | J200 Salsomaggiore | 2026-04-27,2026-06-02T23:19:32.282Z
800636563,Lea Nilsson,F,SWE,2008,58,49,9,948.75,1023.75,75,2,210,1,1,700 pts | BASE | JGS | RU | US Open Junior Tennis Championships | 2025-08-31,"90 pts | BASE | JGS | R32 | The Junior Championships, Wimbledon | 2025-07-05",60 pts | BASE | J300 | R16 | J300 Repentigny | 2025-08-24,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,135 pts | BASE | JGS | R16 | US Open Junior Tennis Championships | 2025-08-31,"135 pts | BASE | JGS | R16 | The Junior Championships, Wimbledon | 2025-07-05",2026-06-02T23:19:32.279Z
800601986,Nikolai Shibani,M,NOR,2008,341,332,9,238,246,8,1,18,1,0,60 pts | BASE | J60 | WR | J60 Ystad | 2026-05-25,60 pts | BASE | J60 | WR | J60 Gjovik | 2026-02-24,30 pts | BASE | J30 | WR | J30 Sandefjord | 2025-08-18,75 pts | BASE | J100 | WR | J100 Nicosia | 2025-11-10,45 pts | BASE | J60 | WR | J60 Gjovik | 2026-02-24,27 pts | BASE | J100 | SF | J100 Liepaja | 2025-08-25,2026-06-02T23:19:32.288Z
800638346,Denisa Zoldakova,F,CZE,2008,37,29,8,1111.75,1235.5,123.75,2,270,1,1,200 pts | BASE | J200 | WR | J200 Oslo | 2025-11-24,200 pts | BASE | J200 | WR | J200 Vigo | 2025-09-30,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,525 pts | BASE | JGS | RU | Australian Open Junior Championships | 2026-01-24,157 pts | BASE | J300 | RU | J300 Sanxenxo | 2025-09-23,150 pts | BASE | J200 | WR | J200 Oslo | 2025-11-24,2026-06-02T23:19:32.277Z
800586389,Ha Eum Lee,F,KOR,2008,44,37,7,1041.75,1158,116.25,2,360,1,1,300 pts | BASE | J300 | WR | J300 Astana | 2025-09-08,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,140 pts | BASE | J300 | SF | J300 Beijing | 2025-09-16,225 pts | BASE | J300 | WR | J300 Wanju (Closed Asia Regional Championship) | 2025-10-06,187 pts | BASE | J500 | SF | J500 Osaka | 2025-09-22,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,2026-06-02T23:19:32.277Z
800644753,Luna Maria Cinalli,F,ARG,2008,48,42,6,1007.25,1097.25,90,2,270,1,1,300 pts | BASE | JGS | QF | Roland Garros Junior Championships | 2025-06-01,250 pts | BASE | J500 | SF | J500 Gaspar | 2026-03-16,150 pts | BASE | J500 | QF | J500 Merida | 2025-11-24,225 pts | BASE | JGS | QF | Roland Garros Junior Championships | 2025-06-01,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,112 pts | BASE | J500 | QF | J500 Milan | 2026-05-18,2026-06-02T23:19:32.277Z
800681412,Daniel Jade,M,FRA,2009,41,35,6,1111.75,1175.5,63.75,2,270,1,1,300 pts | BASE | J300 | WR | J300 Beaulieu-sur-Mer | 2026-04-13,200 pts | BASE | J200 | WR | J200 Istres | 2026-04-06,200 pts | BASE | J200 | WR | J200 Cap d'Ail | 2026-03-30,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,157 pts | BASE | J300 | RU | J300 Zapopan | 2025-11-17,150 pts | BASE | J200 | WR | J200 Szekesfehervar | 2025-10-22,2026-06-02T23:19:32.275Z
800571280,Ekaterina Tupitsyna,F,RUS,2008,56,50,6,956.75,1009.25,52.5,2,120,1,1,700 pts | BASE | JGS | RU | Australian Open Junior Championships | 2026-01-24,150 pts | BASE | J500 | QF | J500 Cairo | 2026-04-06,60 pts | BASE | J300 | R16 | J300 Traralgon | 2026-01-16,112 pts | BASE | J500 | QF | J500 Cairo | 2026-04-06,90 pts | LIVE | JGS | R32 | Roland Garros Junior Championships | 2026-05-31,75 pts | BASE | J300 | QF | J300 Cairo | 2026-03-30,2026-06-02T23:19:32.279Z
800583661,Mickael Kaouk,M,FRA,2008,102,96,6,649.25,694.25,45,2,210,0,1,200 pts | BASE | J200 | WR | J200 Cairo | 2025-11-10,95 pts | BASE | GC |  | Tennis Europe Summer Cups (B18) | 2025-08-04,90 pts | BASE | JGS | R32 | Roland Garros Junior Championships | 2025-06-01,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,105 pts | BASE | J300 | SF | J300 Oberpullendorf (Europe Regional Championships) | 2025-09-15,75 pts | BASE | J200 | SF | J200 Castricum | 2025-07-01,2026-06-02T23:19:32.280Z
