player_id,player_name,gender,country,country_name,birth_year,event_type,countable_status,tournament_name,category,draw_type,host_nation,host_nation_code,surface,surface_code,start_date,drop_date_calculated,round,points,tournament_link,is_countable_at_collection,is_live,status,source_url,collected_at,raw_json
800695465,Abril Cardenas Olivares,F,MEX,,,doubles,live_unconfirmed,J100 Guatemala,J100,main_draw,,,,,2026-06-01,,R16,18,,false,true,not_started_or_unknown,,2026-06-02T23:15:34.883Z,"{""tournament_key"":""J-J100-GUA-2026-001"",""tournament_name"":""J100 Guatemala"",""category"":""J100"",""start_date"":""2026-06-01"",""end_date"":""2026-06-06"",""player_id"":""800695465"",""player_name"":""Abril Cardenas Olivares"",""nationality"":""MEX"",""player_type_code"":""G"",""player_type_desc"":""Girls"",""event_type"":""doubles"",""event_classification"":""main_draw"",""matches_played"":""0"",""wins"":""0"",""losses"":""0"",""highest_round_order"":""2"",""highest_round_name"":""Quarter-finals"",""total_rounds_in_draw"":4,""calculated_round_label"":""R16"",""status"":""not_started_or_unknown"",""live_points_raw"":18,""live_points_weighted"":4.5,""collected_at"":""2026-06-02T23:15:34.883Z""}"
800629801,Alexandra Korneeva,F,ARM,,,doubles,live_unconfirmed,J100 Guatemala,J100,main_draw,,,,,2026-06-01,,R16,18,,false,true,not_started_or_unknown,,2026-06-02T23:15:34.884Z,"{""tournament_key"":""J-J100-GUA-2026-001"",""tournament_name"":""J100 Guatemala"",""category"":""J100"",""start_date"":""2026-06-01"",""end_date"":""2026-06-06"",""player_id"":""800629801"",""player_name"":""Alexandra Korneeva"",""nationality"":""ARM"",""player_type_code"":""G"",""player_type_desc"":""Girls"",""event_type"":""doubles"",""event_classification"":""main_draw"",""matches_played"":""0"",""wins"":""0"",""losses"":""0"",""highest_round_order"":""1"",""highest_round_name"":""1st Round"",""total_rounds_in_draw"":4,""calculated_round_label"":""R16"",""status"":""not_started_or_unknown"",""live_points_raw"":18,""live_points_weighted"":4.5,""collected_at"":""2026-06-02T23:15:34.884Z""}"
800816915,Anika Javora,F,GUA,,,doubles,live_unconfirmed,J100 Guatemala,J100,main_draw,,,,,2026-06-01,,R16,18,,false,true,not_started_or_unknown,,2026-06-02T23:15:34.884Z,"{""tournament_key"":""J-J100-GUA-2026-001"",""tournament_name"":""J100 Guatemala"",""category"":""J100"",""start_date"":""2026-06-01"",""end_date"":""2026-06-06"",""player_id"":""800816915"",""player_name"":""Anika Javora"",""nationality"":""GUA"",""player_type_code"":""G"",""player_type_desc"":""Girls"",""event_type"":""doubles"",""event_classification"":""main_draw"",""matches_played"":""0"",""wins"":""0"",""losses"":""0"",""highest_round_order"":""1"",""highest_round_name"":""1st Round"",""total_rounds_in_draw"":4,""calculated_round_label"":""R16"",""status"":""not_started_or_unknown"",""live_points_raw"":18,""live_points_weighted"":4.5,""collected_at"":""2026-06-02T23:15:34.884Z""}"
800719489,ANTHONY DAVID VASQUEZ SANDOVAL,M,GUA,,,doubles,live_unconfirmed,J100 Guatemala,J100,main_draw,,,,,2026-06-01,,R16,18,,false,true,not_started_or_unknown,,2026-06-02T23:15:34.884Z,"{""tournament_key"":""J-J100-GUA-2026-001"",""tournament_name"":""J100 Guatemala"",""category"":""J100"",""start_date"":""2026-06-01"",""end_date"":""2026-06-06"",""player_id"":""800719489"",""player_name"":""ANTHONY DAVID VASQUEZ SANDOVAL"",""nationality"":""GUA"",""player_type_code"":""B"",""player_type_desc"":""Boys"",""event_type"":""doubles"",""event_classification"":""main_draw"",""matches_played"":""0"",""wins"":""0"",""losses"":""0"",""highest_round_order"":""1"",""highest_round_name"":""1st Round"",""total_rounds_in_draw"":4,""calculated_round_label"":""R16"",""status"":""not_started_or_unknown"",""live_points_raw"":18,""live_points_weighted"":4.5,""collected_at"":""2026-06-02T23:15:34.884Z""}"
800694095,ANTOINE TARDIF,M,CAN,,,doubles,live_unconfirmed,J100 Guatemala,J100,main_draw,,,,,2026-06-01,,R16,18,,false,true,not_started_or_unknown,,2026-06-02T23:15:34.884Z,"{""tournament_key"":""J-J100-GUA-2026-001"",""tournament_name"":""J100 Guatemala"",""category"":""J100"",""start_date"":""2026-06-01"",""end_date"":""2026-06-06"",""player_id"":""800694095"",""player_name"":""ANTOINE TARDIF"",""nationality"":""CAN"",""player_type_code"":""B"",""player_type_desc"":""Boys"",""event_type"":""doubles"",""event_classification"":""main_draw"",""matches_played"":""0"",""wins"":""0"",""losses"":""0"",""highest_round_order"":""1"",""highest_round_name"":""1st Round"",""total_rounds_in_draw"":4,""calculated_round_label"":""R16"",""status"":""not_started_or_unknown"",""live_points_raw"":18,""live_points_weighted"":4.5,""collected_at"":""2026-06-02T23:15:34.884Z""}"
800752433,Antonio Carlos Castellanos,M,GUA,,,doubles,live_unconfirmed,J100 Guatemala,J100,main_draw,,,,,2026-06-01,,R16,18,,false,true,not_started_or_unknown,,2026-06-02T23:15:34.884Z,"{""tournament_key"":""J-J100-GUA-2026-001"",""tournament_name"":""J100 Guatemala"",""category"":""J100"",""start_date"":""2026-06-01"",""end_date"":""2026-06-06"",""player_id"":""800752433"",""player_name"":""Antonio Carlos Castellanos"",""nationality"":""GUA"",""player_type_code"":""B"",""player_type_desc"":""Boys"",""event_type"":""doubles"",""event_classification"":""main_draw"",""matches_played"":""0"",""wins"":""0"",""losses"":""0"",""highest_round_order"":""1"",""highest_round_name"":""1st Round"",""total_rounds_in_draw"":4,""calculated_round_label"":""R16"",""status"":""not_started_or_unknown"",""live_points_raw"":18,""live_points_weighted"":4.5,""collected_at"":""2026-06-02T23:15:34.884Z""}"
800810285,Antonio Guarcax,M,GUA,,,doubles,live_unconfirmed,J100 Guatemala,J100,main_draw,,,,,2026-06-01,,R16,18,,false,true,not_started_or_unknown,,2026-06-02T23:15:34.884Z,"{""tournament_key"":""J-J100-GUA-2026-001"",""tournament_name"":""J100 Guatemala"",""category"":""J100"",""start_date"":""2026-06-01"",""end_date"":""2026-06-06"",""player_id"":""800810285"",""player_name"":""Antonio Guarcax"",""nationality"":""GUA"",""player_type_code"":""B"",""player_type_desc"":""Boys"",""event_type"":""doubles"",""event_classification"":""main_draw"",""matches_played"":""0"",""wins"":""0"",""losses"":""0"",""highest_round_order"":""1"",""highest_round_name"":""1st Round"",""total_rounds_in_draw"":4,""calculated_round_label"":""R16"",""status"":""not_started_or_unknown"",""live_points_raw"":18,""live_points_weighted"":4.5,""collected_at"":""2026-06-02T23:15:34.884Z""}"
800706118,Ariana Ikwueme,F,USA,,,doubles,live_unconfirmed,J100 Guatemala,J100,main_draw,,,,,2026-06-01,,R16,18,,false,true,not_started_or_unknown,,2026-06-02T23:15:34.884Z,"{""tournament_key"":""J-J100-GUA-2026-001"",""tournament_name"":""J100 Guatemala"",""category"":""J100"",""start_date"":""2026-06-01"",""end_date"":""2026-06-06"",""player_id"":""800706118"",""player_name"":""Ariana Ikwueme"",""nationality"":""USA"",""player_type_code"":""G"",""player_type_desc"":""Girls"",""event_type"":""doubles"",""event_classification"":""main_draw"",""matches_played"":""0"",""wins"":""0"",""losses"":""0"",""highest_round_order"":""2"",""highest_round_name"":""Quarter-finals"",""total_rounds_in_draw"":4,""calculated_round_label"":""R16"",""status"":""not_started_or_unknown"",""live_points_raw"":18,""live_points_weighted"":4.5,""collected_at"":""2026-06-02T23:15:34.884Z""}"
800745755,Camila Morataya,F,ESA,,,doubles,live_unconfirmed,J100 Guatemala,J100,main_draw,,,,,2026-06-01,,R16,18,,false,true,not_started_or_unknown,,2026-06-02T23:15:34.884Z,"{""tournament_key"":""J-J100-GUA-2026-001"",""tournament_name"":""J100 Guatemala"",""category"":""J100"",""start_date"":""2026-06-01"",""end_date"":""2026-06-06"",""player_id"":""800745755"",""player_name"":""Camila Morataya"",""nationality"":""ESA"",""player_type_code"":""G"",""player_type_desc"":""Girls"",""event_type"":""doubles"",""event_classification"":""main_draw"",""matches_played"":""0"",""wins"":""0"",""losses"":""0"",""highest_round_order"":""1"",""highest_round_name"":""1st Round"",""total_rounds_in_draw"":4,""calculated_round_label"":""R16"",""status"":""not_started_or_unknown"",""live_points_raw"":18,""live_points_weighted"":4.5,""collected_at"":""2026-06-02T23:15:34.884Z""}"
800678872,Carlos Marcelo Silva Sovero,M,CHI,,,doubles,live_unconfirmed,J100 Guatemala,J100,main_draw,,,,,2026-06-01,,R16,18,,false,true,not_started_or_unknown,,2026-06-02T23:15:34.884Z,"{""tournament_key"":""J-J100-GUA-2026-001"",""tournament_name"":""J100 Guatemala"",""category"":""J100"",""start_date"":""2026-06-01"",""end_date"":""2026-06-06"",""player_id"":""800678872"",""player_name"":""Carlos Marcelo Silva Sovero"",""nationality"":""CHI"",""player_type_code"":""B"",""player_type_desc"":""Boys"",""event_type"":""doubles"",""event_classification"":""main_draw"",""matches_played"":""0"",""wins"":""0"",""losses"":""0"",""highest_round_order"":""1"",""highest_round_name"":""1st Round"",""total_rounds_in_draw"":4,""calculated_round_label"":""R16"",""status"":""not_started_or_unknown"",""live_points_raw"":18,""live_points_weighted"":4.5,""collected_at"":""2026-06-02T23:15:34.884Z""}"
