live_rank,official_rank,rank_change_vs_official,player_id,player_name,gender,country,country_name,birth_year,official_points_for_comparison,live_points,points_change_vs_official,singles_points,doubles_points_raw,doubles_points_weighted,singles_results_used,doubles_results_used,live_rows_available,live_raw_points_available,live_singles_results_counting,live_doubles_results_counting,has_live_result,best_singles_1,best_singles_2,best_singles_3,best_singles_4,best_singles_5,best_singles_6,best_doubles_1,best_doubles_2,best_doubles_3,best_doubles_4,best_doubles_5,best_doubles_6,ranking_date,calculated_at
280,279,-1,800740538,Isabella Ruyu Yan,F,CAN,Canada,2011,342.25,342.25,0,310,129,32.25,6,6,0,0,0,0,false,100 pts | BASE | J100 | WR | J100 Punta Cana | 2026-05-11,60 pts | BASE | J100 | RU | J100 Kingston | 2026-04-20,60 pts | BASE | J60 | WR | J60 Zapopan | 2026-02-09,60 pts | BASE | J60 | WR | J60 Queretaro | 2026-02-02,20 pts | BASE | J100 | QF | J100 Woodbridge | 2025-10-20,10 pts | BASE | J100 | R16 | J100 Prague | 2025-06-30,45 pts | BASE | J200 | QF | J200 Woodbridge | 2026-04-07,27 pts | BASE | J100 | SF | J100 Punta Cana | 2026-05-11,15 pts | BASE | J100 | QF | J100 Kingston | 2026-04-20,14 pts | BASE | J60 | SF | J60 Zapopan | 2026-02-09,14 pts | BASE | J60 | SF | J60 Victoria | 2025-10-13,14 pts | BASE | J60 | SF | J60 Edmonton | 2025-06-02,2026-06-02,2026-06-02T23:19:32.296Z
281,280,-1,800732423,Xiran Lan,F,CHN,"China, P.R.",2009,339,339,0,264,300,75,6,6,0,0,0,0,false,60 pts | BASE | J200 | QF | J200 Kuala Lumpur | 2026-04-14,60 pts | BASE | J60 | WR | J60 Singapore | 2026-02-02,36 pts | BASE | J60 | RU | J60 Singapore | 2026-02-09,36 pts | BASE | J200 | R16 | J200 Hong Kong | 2025-09-30,36 pts | BASE | J100 | SF | J100 Kuching | 2025-09-02,36 pts | BASE | J60 | RU | J60 Nonthaburi | 2025-06-23,75 pts | BASE | J300 | QF | J300 Wanju (Closed Asia Regional Championship) | 2025-10-06,45 pts | BASE | J60 | WR | J60 Singapore | 2026-02-09,45 pts | BASE | J60 | WR | J60 Singapore | 2026-02-02,45 pts | BASE | J200 | QF | J200 Hong Kong | 2025-09-30,45 pts | BASE | J100 | RU | J100 Hong Kong | 2025-09-23,45 pts | BASE | J300 | R16 | J300 Beijing | 2025-09-16,2026-06-02,2026-06-02T23:19:32.296Z
282,281,-1,800712049,Emilie Chen,F,AUS,Australia,2010,335,335,0,230,420,105,6,6,0,0,0,0,false,100 pts | BASE | J100 | WR | J100 Mornington | 2026-03-10,36 pts | BASE | J60 | RU | J60 Nonthaburi | 2025-10-27,36 pts | BASE | J60 | RU | J60 Nonthaburi | 2025-10-20,20 pts | BASE | J100 | QF | J100 Burnie | 2026-02-03,20 pts | BASE | J100 | QF | J100 Zhangjiagang | 2025-09-23,18 pts | BASE | J200 | R32 | J200 Sydney (Regional Championships) | 2025-08-19,105 pts | BASE | J300 | SF | J300 Pune (Asia/Oceania Closed Regional Championships) | 2026-04-20,75 pts | BASE | J100 | WR | J100 Mornington | 2026-03-10,75 pts | BASE | J100 | WR | J100 Burnie | 2026-02-03,75 pts | BASE | J200 | SF | J200 Sydney (Regional Championships) | 2025-08-19,45 pts | BASE | J200 | QF | J200 Kuala Lumpur | 2026-04-14,45 pts | BASE | J200 | QF | J200 Hong Kong | 2025-09-30,2026-06-02,2026-06-02T23:19:32.296Z
283,282,-1,800632085,Adiya Omarbek,F,KAZ,Kazakhstan,2009,332.5,332.5,0,266,266,66.5,6,6,0,0,0,0,false,100 pts | BASE | J300 | QF | J300 Pune (Asia/Oceania Closed Regional Championships) | 2026-04-20,60 pts | BASE | J60 | WR | J60 Karaganda | 2026-02-09,36 pts | BASE | J200 | R16 | J200 Fergana | 2025-10-06,30 pts | BASE | J300 | R32 | J300 Nonthaburi | 2026-03-02,20 pts | BASE | J100 | QF | J100 Pune | 2025-12-01,20 pts | BASE | J100 | QF | J100 New Delhi | 2025-11-24,157 pts | BASE | J300 | RU | J300 Pune (Asia/Oceania Closed Regional Championships) | 2026-04-20,27 pts | BASE | J200 | R16 | J200 Astana | 2025-09-01,27 pts | BASE | J100 | SF | J100 Almaty | 2025-06-16,25 pts | BASE | J30 | WR | J30 Shymkent | 2025-06-09,15 pts | BASE | J100 | QF | J100 Fergana | 2025-09-29,15 pts | BASE | J100 | QF | J100 Fergana | 2025-08-18,2026-06-02,2026-06-02T23:19:32.296Z
284,283,-1,800767494,Aarini Bhattacharya,F,USA,USA,2010,331.75,331.75,0,294,151,37.75,6,6,0,0,0,0,false,60 pts | BASE | J100 | RU | J100 San Jose | 2026-04-27,60 pts | BASE | J300 | R16 | J300 San Diego (North American Regional Championships) | 2026-03-16,60 pts | BASE | J60 | WR | J60 San Luis Potosi | 2026-02-23,60 pts | BASE | J60 | WR | J60 San Luis Potosi | 2026-02-16,36 pts | BASE | J60 | RU | J60 San Jose | 2026-01-12,18 pts | BASE | J30 | RU | J30 Cincinnati | 2025-06-02,45 pts | BASE | J60 | WR | J60 San Luis Potosi | 2026-02-23,45 pts | BASE | J60 | WR | J60 San Luis Potosi | 2026-02-16,25 pts | BASE | J30 | WR | J30 Cincinnati | 2025-06-02,15 pts | BASE | J100 | QF | J100 Woodbridge | 2025-10-20,14 pts | BASE | J60 | SF | J60 San Jose | 2026-01-05,7 pts | BASE | J60 | QF | J60 San Jose | 2026-01-12,2026-06-02,2026-06-02T23:19:32.296Z
285,284,-1,800654007,Haniya Aman Minhas,F,KSA,Saudi Arabia,2010,331,331,0,284,188,47,6,6,0,0,0,0,false,100 pts | BASE | J100 | WR | J100 Accra | 2025-10-06,60 pts | BASE | J60 | WR | J60 Islamabad | 2025-11-03,60 pts | BASE | J60 | WR | J60 Accra | 2025-09-15,36 pts | BASE | J100 | SF | J100 Accra | 2025-09-29,18 pts | BASE | J60 | SF | J60 Accra | 2025-09-22,10 pts | BASE | J100 | R16 | J100 Loughborough | 2026-03-09,75 pts | BASE | J100 | WR | J100 Accra | 2025-09-29,45 pts | BASE | J60 | WR | J60 Islamabad | 2025-11-03,27 pts | BASE | J100 | SF | J100 Accra | 2025-10-06,27 pts | BASE | J60 | RU | J60 Accra | 2025-09-15,14 pts | BASE | J60 | SF | J60 Telavi | 2025-06-30,0 pts | BASE | J30 | QF | J30 Islamabad | 2026-04-13,2026-06-02,2026-06-02T23:19:32.296Z
286,285,-1,800707529,Lily Rochon,F,CAN,Canada,2009,330,330,0,252,312,78,6,6,0,0,0,0,false,60 pts | BASE | J200 | QF | J200 Montreal | 2025-09-08,60 pts | BASE | J100 | RU | J100 Monterrey | 2025-07-07,36 pts | BASE | J100 | SF | J100 Kingston | 2026-04-20,36 pts | BASE | J200 | R16 | J200 Woodbridge | 2026-04-07,30 pts | BASE | J300 | R32 | J300 Tucson | 2026-03-09,30 pts | BASE | J300 | R32 | J300 Repentigny | 2025-08-24,75 pts | BASE | J200 | SF | J200 Woodbridge | 2026-04-07,75 pts | BASE | J100 | WR | J100 Monterrey | 2025-07-07,45 pts | BASE | J300 | R16 | J300 Tucson | 2026-03-09,45 pts | BASE | J300 | R16 | J300 Repentigny | 2025-08-24,45 pts | BASE | J60 | WR | J60 Edmonton | 2025-06-02,27 pts | BASE | J200 | R16 | J200 Las Vegas | 2026-03-02,2026-06-02,2026-06-02T23:19:32.296Z
287,286,-1,800679348,lamiss Houas,F,TUN,Tunisia,2008,326,326,0,260,264,66,6,6,0,0,0,0,false,100 pts | BASE | J100 | WR | J100 Accra | 2025-09-29,60 pts | BASE | J100 | RU | J100 Accra | 2025-10-06,60 pts | BASE | J200 | QF | J200 Pretoria | 2025-09-08,20 pts | BASE | J100 | QF | J100 Johannesburg | 2025-08-25,10 pts | BASE | J100 | R16 | J100 Cairo | 2025-10-27,10 pts | BASE | J100 | R16 | J100 Pretoria | 2025-09-01,75 pts | BASE | J100 | WR | J100 Accra | 2025-10-06,45 pts | BASE | J200 | QF | J200 Cairo | 2025-11-03,45 pts | BASE | J200 | QF | J200 Pretoria | 2025-09-15,45 pts | BASE | J200 | QF | J200 Pretoria | 2025-09-08,27 pts | BASE | J100 | SF | J100 Cairo | 2025-10-27,27 pts | BASE | J100 | SF | J100 Johannesburg | 2025-08-25,2026-06-02,2026-06-02T23:19:32.296Z
288,287,-1,800596523,Maja Wrobel,F,POL,Poland,2008,324.75,324.75,0,288,147,36.75,6,6,0,0,0,0,false,100 pts | BASE | J100 | WR | J100 Aizkraukle | 2025-12-08,60 pts | BASE | J100 | RU | J100 Poznan | 2025-07-30,36 pts | BASE | J200 | R16 | J200 Cairo | 2025-11-03,36 pts | BASE | J100 | SF | J100 Liepaja | 2025-08-25,36 pts | BASE | J100 | SF | J100 Sobota | 2025-06-03,20 pts | BASE | J100 | QF | J100 Trnava | 2025-11-10,105 pts | BASE | J300 | SF | J300 Bytom | 2025-07-22,27 pts | BASE | J100 | SF | J100 Liepaja | 2025-08-25,15 pts | BASE | J100 | QF | J100 Poznan | 2025-07-30,0 pts | BASE | J200 | R16 | J200 Kosice | 2026-01-06,0 pts | BASE | J100 | QF | J100 Aizkraukle | 2025-12-01,0 pts | BASE | J100 | R16 | J100 Trnava | 2025-11-10,2026-06-02,2026-06-02T23:19:32.296Z
289,288,-1,800647044,Lisa Anzai,F,JPN,Japan,2009,323.5,323.5,0,256,270,67.5,6,6,0,0,0,0,false,60 pts | BASE | J300 | R16 | J300 Pune (Asia/Oceania Closed Regional Championships) | 2026-04-20,60 pts | BASE | J200 | QF | J200 Gurugram | 2026-01-12,60 pts | BASE | J60 | WR | J60 Lautoka | 2025-07-15,36 pts | BASE | J60 | RU | J60 Ipoh | 2025-07-29,20 pts | BASE | J100 | QF | J100 Guatemala | 2025-06-09,20 pts | BASE | J100 | QF | J100 Guatemala | 2025-06-02,45 pts | BASE | J200 | QF | J200 Kuala Lumpur | 2026-04-14,45 pts | BASE | J100 | RU | J100 Canberra | 2026-03-17,45 pts | BASE | J200 | QF | J200 Gurugram | 2026-01-12,45 pts | BASE | J60 | WR | J60 Manama | 2025-12-08,45 pts | BASE | J200 | QF | J200 Hong Kong | 2025-09-30,45 pts | BASE | J200 | QF | J200 Nanjing | 2025-09-09,2026-06-02,2026-06-02T23:19:32.296Z
290,289,-1,800741206,Angel Warang,F,AUS,Australia,2010,323,323,0,272,204,51,6,6,0,0,0,0,false,60 pts | BASE | J100 | RU | J100 Canberra | 2026-03-17,60 pts | BASE | J100 | RU | J100 Tauranga | 2026-01-20,60 pts | BASE | J60 | WR | J60 Gold Coast | 2025-07-08,36 pts | BASE | J100 | SF | J100 Burnie | 2026-02-03,36 pts | BASE | J200 | R16 | J200 Sydney (Regional Championships) | 2025-08-19,20 pts | BASE | J100 | QF | J100 Mornington | 2026-03-10,45 pts | BASE | J100 | RU | J100 Launceston | 2026-02-09,45 pts | BASE | J60 | WR | J60 Adelaide | 2025-09-09,45 pts | BASE | J200 | QF | J200 Sydney (Regional Championships) | 2025-08-19,27 pts | BASE | J100 | SF | J100 Pune | 2025-12-01,27 pts | BASE | J60 | RU | J60 Darwin | 2025-06-02,15 pts | BASE | J100 | QF | J100 Mornington | 2026-03-10,2026-06-02,2026-06-02T23:19:32.296Z
291,290,-1,800694699,Camilla Olga Castracani,F,ITA,Italy,2010,322,322,0,252,280,70,6,6,0,0,0,0,false,60 pts | BASE | J200 | QF | J200 Prato | 2026-05-05,60 pts | BASE | J60 | WR | J60 Aizkraukle | 2026-04-06,36 pts | BASE | J100 | SF | J100 Aizkraukle | 2026-04-13,36 pts | BASE | J200 | R16 | J200 Florence | 2026-04-01,30 pts | BASE | J30 | WR | J30 Adana | 2026-01-19,30 pts | BASE | J30 | WR | J30 Sarajevo | 2025-06-30,75 pts | BASE | J100 | WR | J100 Aizkraukle | 2026-04-13,45 pts | BASE | J200 | QF | J200 Prato | 2026-05-05,45 pts | BASE | J60 | WR | J60 Aizkraukle | 2026-04-06,45 pts | BASE | J60 | WR | J60 Blagnac | 2026-03-16,45 pts | BASE | J100 | RU | J100 Nicosia | 2025-11-10,25 pts | BASE | J30 | WR | J30 Sarajevo | 2025-06-30,2026-06-02,2026-06-02T23:19:32.296Z
292,291,-1,800543453,Satima Toregen,F,KAZ,Kazakhstan,2008,321.5,321.5,0,194,510,127.5,6,6,0,0,0,0,false,60 pts | BASE | J60 | WR | J60 Cholpon-Ata | 2025-06-02,36 pts | BASE | J200 | R16 | J200 Astana | 2025-09-01,30 pts | BASE | J300 | R32 | J300 Wanju (Closed Asia Regional Championship) | 2025-10-06,30 pts | BASE | J300 | R32 | J300 Astana | 2025-09-08,20 pts | BASE | J100 | QF | J100 Almaty | 2025-06-16,18 pts | BASE | J60 | SF | J60 Guwahati | 2025-11-17,225 pts | BASE | J300 | WR | J300 Astana | 2025-09-08,75 pts | BASE | J300 | QF | J300 Pune (Asia/Oceania Closed Regional Championships) | 2026-04-20,75 pts | BASE | J100 | WR | J100 New Delhi | 2025-11-24,45 pts | BASE | J60 | WR | J60 Guwahati | 2025-11-17,45 pts | BASE | J300 | R16 | J300 Wanju (Closed Asia Regional Championship) | 2025-10-06,45 pts | BASE | J200 | QF | J200 Chuncheon | 2025-09-30,2026-06-02,2026-06-02T23:19:32.296Z
293,292,-1,800668017,Anna-Adelina Nykyforuk,F,UKR,Ukraine,2009,321,321,0,246,300,75,6,6,0,0,0,0,false,60 pts | BASE | J60 | WR | J60 Vyshkovo (CLOSED) | 2026-05-04,60 pts | BASE | J60 | WR | J60 Vyshkovo (CLOSED) | 2026-04-27,60 pts | BASE | J60 | WR | J60 Vyshkovo (CLOSED) | 2025-09-29,36 pts | BASE | J100 | SF | J100 Aizkraukle | 2025-12-01,20 pts | BASE | J100 | QF | J100 Aizkraukle | 2025-12-08,10 pts | BASE | J60 | QF | J60 Mogyorod | 2025-10-14,75 pts | BASE | J100 | WR | J100 Tallinn | 2026-04-20,45 pts | BASE | J60 | WR | J60 Vyshkovo (CLOSED) | 2026-05-04,45 pts | BASE | J60 | WR | J60 Vyshkovo (CLOSED) | 2026-04-27,45 pts | BASE | J100 | RU | J100 Aizkraukle | 2026-04-13,45 pts | BASE | J60 | WR | J60 Vyshkovo (CLOSED) | 2025-09-29,45 pts | BASE | J60 | WR | J60 Zilina | 2025-07-29,2026-06-02,2026-06-02T23:19:32.297Z
294,293,-1,800628944,Maryia Kolas,F,BLR,Belarus,2009,319.5,319.5,0,252,270,67.5,6,6,0,0,0,0,false,60 pts | BASE | J200 | QF | J200 Valencia | 2026-03-02,60 pts | BASE | J100 | RU | J100 El Prat de Llobregat | 2025-09-08,60 pts | BASE | J100 | RU | J100 Barcelona | 2025-08-19,36 pts | BASE | J200 | R16 | J200 St. Poelten | 2026-05-05,36 pts | BASE | J200 | R16 | J200 Hammamet | 2026-01-13,0 pts | BASE | J300 | QF | J300 Beaulieu-sur-Mer | 2026-04-13,105 pts | BASE | J300 | SF | J300 Sanxenxo | 2025-09-23,75 pts | BASE | J200 | SF | J200 Istres | 2026-04-06,75 pts | BASE | J200 | SF | J200 Hammamet | 2026-01-13,15 pts | BASE | J100 | QF | J100 Barcelona | 2025-08-26,0 pts | BASE | J200 | R16 | J200 St. Poelten | 2026-05-05,0 pts | BASE | J200 | R16 | J200 Cap d'Ail | 2026-03-30,2026-06-02,2026-06-02T23:19:32.297Z
295,294,-1,800738281,Yashwitha Reddy,F,NZL,New Zealand,2010,318,318,0,264,216,54,6,6,0,0,0,0,false,60 pts | BASE | J200 | QF | J200 Sydney | 2025-08-26,60 pts | BASE | J200 | QF | J200 Sydney (Regional Championships) | 2025-08-19,36 pts | BASE | J100 | SF | J100 Tauranga | 2026-01-20,36 pts | BASE | J60 | RU | J60 Wellington | 2026-01-13,36 pts | BASE | J60 | RU | J60 Christchurch | 2025-09-30,36 pts | BASE | J60 | RU | J60 Gold Coast | 2025-07-02,45 pts | BASE | J100 | RU | J100 Tauranga | 2026-01-20,45 pts | BASE | J200 | QF | J200 Sydney | 2025-08-26,45 pts | BASE | J60 | WR | J60 Gold Coast | 2025-07-02,27 pts | BASE | J60 | RU | J60 Christchurch | 2025-09-30,27 pts | BASE | J200 | R16 | J200 Sydney (Regional Championships) | 2025-08-19,27 pts | BASE | J60 | RU | J60 Gold Coast | 2025-07-08,2026-06-02,2026-06-02T23:19:32.297Z
