live_rank,official_rank,rank_change_vs_official,player_id,player_name,gender,country,country_name,birth_year,official_points_for_comparison,live_points,points_change_vs_official,singles_points,doubles_points_raw,doubles_points_weighted,singles_results_used,doubles_results_used,live_rows_available,live_raw_points_available,live_singles_results_counting,live_doubles_results_counting,has_live_result,best_singles_1,best_singles_2,best_singles_3,best_singles_4,best_singles_5,best_singles_6,best_doubles_1,best_doubles_2,best_doubles_3,best_doubles_4,best_doubles_5,best_doubles_6,ranking_date,calculated_at
1,1,0,800591535,Ksenia Efremova,F,FRA,France,2009,2718,2718,0,2510,832,208,6,6,1,30,0,0,true,1000 pts | BASE | JGS | WR | Australian Open Junior Championships | 2026-01-24,500 pts | BASE | J500 | WR | J500 Osaka | 2025-09-22,300 pts | BASE | JGS | QF | US Open Junior Tennis Championships | 2025-08-31,300 pts | BASE | J300 | WR | J300 Repentigny | 2025-08-24,210 pts | BASE | J300 | RU | J300 Traralgon | 2026-01-16,200 pts | BASE | J200 | WR | J200 Hong Kong | 2025-09-30,375 pts | BASE | J500 | WR | J500 Osaka | 2025-09-22,157 pts | BASE | J300 | RU | J300 Repentigny | 2025-08-24,150 pts | BASE | J200 | WR | J200 Hong Kong | 2025-09-30,105 pts | BASE | J300 | SF | J300 College Park | 2025-08-18,45 pts | BASE | J300 | R16 | J300 Roehampton | 2025-06-29,0 pts | BASE | J300 | R32 | J300 Traralgon | 2026-01-16,2026-06-02,2026-06-02T23:19:32.274Z
2,2,0,800677732,Xinran Sun,F,CHN,"China, P.R.",2010,2318,2336.75,18.75,2080,1027,256.75,6,6,2,360,1,1,true,500 pts | BASE | J500 | WR | J500 Milan | 2026-05-18,500 pts | BASE | J500 | WR | J500 Fort Lauderdale | 2025-12-08,300 pts | BASE | J300 | WR | J300 Plovdiv | 2026-04-28,300 pts | BASE | JGS | QF | Australian Open Junior Championships | 2026-01-24,300 pts | BASE | J300 | WR | J300 Traralgon | 2026-01-16,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,225 pts | BASE | J300 | WR | J300 Bradenton | 2025-12-01,225 pts | BASE | J300 | WR | J300 Beijing | 2025-09-16,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,157 pts | BASE | J300 | RU | J300 College Park | 2025-08-18,"135 pts | BASE | JGS | R16 | The Junior Championships, Wimbledon | 2025-07-05",105 pts | BASE | J300 | SF | J300 Plovdiv | 2026-04-28,2026-06-02,2026-06-02T23:19:32.274Z
3,4,1,800655335,Victoria Luiza Barros,F,BRA,Brazil,2009,2194,2205.25,11.25,1930,1101,275.25,6,6,2,360,1,1,true,500 pts | BASE | J500 | WR | J500 Offenbach | 2026-05-04,350 pts | BASE | J500 | RU | J500 Gaspar | 2026-03-16,350 pts | BASE | J500 | RU | J500 Merida | 2025-11-24,300 pts | BASE | J300 | WR | J300 Bamberg | 2025-06-10,250 pts | BASE | J500 | SF | J500 Fort Lauderdale | 2025-12-08,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,225 pts | BASE | JGS | QF | US Open Junior Tennis Championships | 2025-08-31,187 pts | BASE | J500 | SF | J500 Offenbach | 2026-05-04,187 pts | BASE | J500 | SF | J500 Gaspar | 2026-03-16,187 pts | BASE | J500 | SF | J500 Merida | 2025-11-24,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,"135 pts | BASE | JGS | R16 | The Junior Championships, Wimbledon | 2025-07-05",2026-06-02,2026-06-02T23:19:32.275Z
4,3,-1,800572951,Alena Kovackova,F,CZE,Czechia,2008,2199.75,2199.75,0,1480,2879,719.75,6,6,0,0,0,0,false,500 pts | BASE | J500 | WR | J500 Merida | 2025-11-24,420 pts | BASE | JM | WR | 2025 ITF World Tennis Tour Junior Finals | 2025-10-22,180 pts | BASE | JGS | R16 | Australian Open Junior Championships | 2026-01-24,180 pts | BASE | JGS | R16 | Roland Garros Junior Championships | 2025-06-01,100 pts | BASE | J300 | QF | J300 Traralgon | 2026-01-16,100 pts | BASE | J300 | QF | J300 Zapopan | 2025-11-17,750 pts | BASE | JGS | WR | Australian Open Junior Championships | 2026-01-24,750 pts | BASE | JGS | WR | US Open Junior Tennis Championships | 2025-08-31,525 pts | BASE | JGS | RU | Roland Garros Junior Championships | 2025-06-01,"367 pts | BASE | JGS | SF | The Junior Championships, Wimbledon | 2025-07-05",262 pts | BASE | J500 | RU | J500 Merida | 2025-11-24,225 pts | BASE | J300 | WR | J300 Zapopan | 2025-11-17,2026-06-02,2026-06-02T23:19:32.275Z
5,5,0,800627475,Mia Pohankova,F,SVK,Slovakia,2008,2189.25,2189.25,0,2030,637,159.25,5,4,0,0,0,0,false,"1000 pts | BASE | JGS | WR | The Junior Championships, Wimbledon | 2025-07-05",550 pts | BASE | JM | WR | 2025 ITF World Tennis Tour Junior Finals | 2025-10-22,300 pts | BASE | JGS | QF | US Open Junior Tennis Championships | 2025-08-31,180 pts | BASE | JGS | R16 | Roland Garros Junior Championships | 2025-06-01,0 pts | BASE | J300 | R64 | J300 Roehampton | 2025-06-29,,367 pts | BASE | JGS | SF | Roland Garros Junior Championships | 2025-06-01,135 pts | BASE | JGS | R16 | US Open Junior Tennis Championships | 2025-08-31,"135 pts | BASE | JGS | R16 | The Junior Championships, Wimbledon | 2025-07-05",0 pts | BASE | J300 | R32 | J300 Roehampton | 2025-06-29,,,2026-06-02,2026-06-02T23:19:32.275Z
6,6,0,800661515,Jana Kovackova,F,CZE,Czechia,2010,2099.75,2139.75,40,1420,2879,719.75,6,6,2,360,1,0,true,300 pts | BASE | J300 | WR | J300 Zapopan | 2025-11-17,260 pts | BASE | JM | 3 | 2025 ITF World Tennis Tour Junior Finals | 2025-10-22,250 pts | BASE | J500 | SF | J500 Milan | 2026-05-18,250 pts | BASE | J500 | SF | J500 Merida | 2025-11-24,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,180 pts | BASE | JGS | R16 | US Open Junior Tennis Championships | 2025-08-31,750 pts | BASE | JGS | WR | Australian Open Junior Championships | 2026-01-24,750 pts | BASE | JGS | WR | US Open Junior Tennis Championships | 2025-08-31,525 pts | BASE | JGS | RU | Roland Garros Junior Championships | 2025-06-01,"367 pts | BASE | JGS | SF | The Junior Championships, Wimbledon | 2025-07-05",262 pts | BASE | J500 | RU | J500 Merida | 2025-11-24,225 pts | BASE | J300 | WR | J300 Zapopan | 2025-11-17,2026-06-02,2026-06-02T23:19:32.275Z
7,7,0,800631038,Hannah Klugman,F,GBR,Great Britain,2009,2047.5,2047.5,0,1980,270,67.5,4,3,0,0,0,0,false,700 pts | BASE | JGS | RU | Roland Garros Junior Championships | 2025-06-01,490 pts | BASE | JM | SF | 2025 ITF World Tennis Tour Junior Finals | 2025-10-22,490 pts | BASE | JGS | SF | US Open Junior Tennis Championships | 2025-08-31,"300 pts | BASE | JGS | QF | The Junior Championships, Wimbledon | 2025-07-05",,,135 pts | BASE | JGS | R16 | US Open Junior Tennis Championships | 2025-08-31,"135 pts | BASE | JGS | R16 | The Junior Championships, Wimbledon | 2025-07-05",0 pts | BASE | JGS | R32 | Roland Garros Junior Championships | 2025-06-01,,,,2026-06-02,2026-06-02T23:19:32.275Z
8,8,0,800719373,Kristina Penickova,F,USA,USA,2009,1905.5,1905.5,0,1480,1702,425.5,6,5,0,0,0,0,false,700 pts | BASE | JM | RU | 2025 ITF World Tennis Tour Junior Finals | 2025-10-22,250 pts | BASE | J500 | SF | J500 Osaka | 2025-09-22,200 pts | BASE | J200 | WR | J200 Chuncheon | 2025-09-30,180 pts | BASE | JGS | R16 | US Open Junior Tennis Championships | 2025-08-31,"90 pts | BASE | JGS | R32 | The Junior Championships, Wimbledon | 2025-07-05",60 pts | BASE | J300 | R16 | J300 Roehampton | 2025-06-29,"750 pts | BASE | JGS | WR | The Junior Championships, Wimbledon | 2025-07-05",375 pts | BASE | J500 | WR | J500 Osaka | 2025-09-22,367 pts | BASE | JGS | SF | Roland Garros Junior Championships | 2025-06-01,135 pts | BASE | JGS | R16 | US Open Junior Tennis Championships | 2025-08-31,75 pts | BASE | J300 | QF | J300 Roehampton | 2025-06-29,,2026-06-02,2026-06-02T23:19:32.276Z
9,9,0,800695060,Nauhany Vitoria Leme Da Silva,F,BRA,Brazil,2010,1743,1878,135,1550,1312,328,6,6,2,360,1,1,true,500 pts | BASE | J500 | WR | J500 Gaspar | 2026-03-16,300 pts | BASE | J300 | WR | J300 Porto Alegre | 2026-03-09,300 pts | BASE | J300 | WR | J300 Santa Cruz (South America Regional Championships) | 2026-02-23,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,"180 pts | BASE | JGS | R16 | The Junior Championships, Wimbledon | 2025-07-05",90 pts | BASE | J500 | R16 | J500 Milan | 2026-05-18,375 pts | BASE | J500 | WR | J500 Milan | 2026-05-18,262 pts | BASE | J500 | RU | J500 Gaspar | 2026-03-16,225 pts | BASE | J300 | WR | J300 Porto Alegre | 2026-03-09,225 pts | BASE | J300 | WR | J300 Santa Cruz (South America Regional Championships) | 2026-02-23,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,45 pts | BASE | J300 | R16 | J300 Roehampton | 2025-06-29,2026-06-02,2026-06-02T23:19:32.276Z
10,14,4,800644962,Mariia Makarova,F,RUS,Russia,2010,1640.5,1783,142.5,1530,1012,253,6,6,2,270,1,1,true,350 pts | BASE | J500 | RU | J500 Milan | 2026-05-18,300 pts | BASE | JGS | QF | Australian Open Junior Championships | 2026-01-24,300 pts | BASE | J300 | WR | J300 Sanxenxo | 2025-09-23,200 pts | BASE | J200 | WR | J200 Cairo | 2025-11-10,200 pts | BASE | J200 | WR | J200 Cairo | 2025-11-03,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,367 pts | BASE | JGS | SF | Australian Open Junior Championships | 2026-01-24,225 pts | BASE | J300 | WR | J300 Traralgon | 2026-01-16,150 pts | BASE | J200 | WR | J200 Cairo | 2025-11-10,105 pts | BASE | J300 | SF | J300 Sanxenxo | 2025-09-23,90 pts | LIVE | JGS | R32 | Roland Garros Junior Championships | 2026-05-31,75 pts | BASE | J200 | SF | J200 Cairo | 2025-11-03,2026-06-02,2026-06-02T23:19:32.276Z
11,10,-1,800692835,Julieta Pareja,F,USA,USA,2009,1706.75,1706.75,0,1480,907,226.75,4,3,0,0,0,0,false,"700 pts | BASE | JGS | RU | The Junior Championships, Wimbledon | 2025-07-05",300 pts | BASE | J300 | WR | J300 Roehampton | 2025-06-29,300 pts | BASE | JGS | QF | Roland Garros Junior Championships | 2025-06-01,180 pts | BASE | JGS | R16 | US Open Junior Tennis Championships | 2025-08-31,,,"525 pts | BASE | JGS | RU | The Junior Championships, Wimbledon | 2025-07-05",225 pts | BASE | JGS | QF | Roland Garros Junior Championships | 2025-06-01,157 pts | BASE | J300 | RU | J300 Roehampton | 2025-06-29,,,,2026-06-02,2026-06-02T23:19:32.276Z
12,12,0,800598140,Anastasija Cvetkovic,F,SRB,Serbia,2008,1660.75,1696.5,35.75,1350,1386,346.5,6,6,2,360,1,1,true,350 pts | BASE | J500 | RU | J500 Offenbach | 2026-05-04,250 pts | BASE | J500 | SF | J500 Fort Lauderdale | 2025-12-08,210 pts | BASE | J300 | RU | J300 Plovdiv | 2026-04-28,210 pts | BASE | J300 | RU | J300 Bradenton | 2025-12-01,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,150 pts | BASE | J500 | QF | J500 Milan | 2026-05-18,375 pts | BASE | J500 | WR | J500 Fort Lauderdale | 2025-12-08,262 pts | BASE | J500 | RU | J500 Milan | 2026-05-18,225 pts | BASE | JGS | QF | Australian Open Junior Championships | 2026-01-24,187 pts | BASE | J500 | SF | J500 Merida | 2025-11-24,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,157 pts | BASE | J300 | RU | J300 Santa Croce Sull’Arno | 2026-05-11,2026-06-02,2026-06-02T23:19:32.276Z
13,13,0,800659876,Sol Ailin Larraya Guidi,F,ARG,Argentina,2008,1649,1694.75,45.75,1350,1379,344.75,6,6,2,360,1,1,true,300 pts | BASE | J300 | WR | J300 Asuncion | 2026-03-02,250 pts | BASE | J500 | SF | J500 Gaspar | 2026-03-16,210 pts | BASE | J300 | RU | J300 Santa Cruz (South America Regional Championships) | 2026-02-23,210 pts | BASE | J300 | RU | J300 Asuncion (Junior Pan American Games) | 2025-08-11,200 pts | BASE | J200 | WR | J200 La Paz | 2025-11-10,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,262 pts | BASE | J500 | RU | J500 Milan | 2026-05-18,262 pts | BASE | J500 | RU | J500 Gaspar | 2026-03-16,225 pts | BASE | J300 | WR | J300 Porto Alegre | 2026-03-09,225 pts | BASE | J300 | WR | J300 Santa Cruz (South America Regional Championships) | 2026-02-23,225 pts | BASE | J300 | WR | J300 Asuncion (Junior Pan American Games) | 2025-08-11,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,2026-06-02,2026-06-02T23:19:32.276Z
14,11,-3,800579453,Julia Stusek,F,GER,Germany,2008,1675.5,1675.5,0,1460,862,215.5,6,5,0,0,0,0,false,360 pts | BASE | JM | RU | 2025 ITF World Tennis Tour Junior Finals | 2025-10-22,300 pts | BASE | JGS | QF | US Open Junior Tennis Championships | 2025-08-31,300 pts | BASE | JGS | QF | Roland Garros Junior Championships | 2025-06-01,210 pts | BASE | J300 | RU | J300 Bytom | 2025-07-22,200 pts | BASE | J200 | WR | J200 Rutesheim | 2025-08-05,"90 pts | BASE | JGS | R32 | The Junior Championships, Wimbledon | 2025-07-05","367 pts | BASE | JGS | SF | The Junior Championships, Wimbledon | 2025-07-05",225 pts | BASE | JGS | QF | US Open Junior Tennis Championships | 2025-08-31,225 pts | BASE | J300 | WR | J300 Bytom | 2025-07-22,45 pts | BASE | J300 | R16 | J300 Roehampton | 2025-06-29,0 pts | BASE | JGS | R32 | Roland Garros Junior Championships | 2025-06-01,,2026-06-02,2026-06-02T23:19:32.276Z
15,15,0,800601474,Mariella Thamm,F,GER,Germany,2009,1591.25,1650,58.75,1380,1080,270,6,6,2,360,1,1,true,300 pts | BASE | J300 | WR | J300 Charleroi-Marcinelle | 2026-05-25,300 pts | BASE | J300 | WR | J300 Villena | 2026-03-16,200 pts | BASE | J200 | WR | J200 Valencia | 2026-03-02,200 pts | BASE | J200 | WR | J200 Oberhaching | 2026-02-02,200 pts | BASE | J200 | WR | J200 Belgrade | 2025-08-25,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,375 pts | BASE | J500 | WR | J500 Offenbach | 2026-05-04,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,150 pts | BASE | J200 | WR | J200 Oberhaching | 2026-02-02,135 pts | BASE | JGS | R16 | Australian Open Junior Championships | 2026-01-24,135 pts | BASE | JGS | R16 | Roland Garros Junior Championships | 2025-06-01,105 pts | BASE | J300 | SF | J300 Charleroi-Marcinelle | 2026-05-25,2026-06-02,2026-06-02T23:19:32.276Z
16,16,0,800672253,Charo Esquiva Banuls,F,ESP,Spain,2008,1506.25,1636.25,130,1310,1305,326.25,6,6,2,360,1,1,true,300 pts | BASE | JGS | QF | US Open Junior Tennis Championships | 2025-08-31,260 pts | BASE | JM | SF | 2025 ITF World Tennis Tour Junior Finals | 2025-10-22,210 pts | BASE | J300 | RU | J300 Oberpullendorf (Europe Regional Championships) | 2025-09-15,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,"180 pts | BASE | JGS | R16 | The Junior Championships, Wimbledon | 2025-07-05",180 pts | BASE | JGS | R16 | Roland Garros Junior Championships | 2025-06-01,375 pts | BASE | J500 | WR | J500 Milan | 2026-05-18,225 pts | BASE | JGS | QF | US Open Junior Tennis Championships | 2025-08-31,"225 pts | BASE | JGS | QF | The Junior Championships, Wimbledon | 2025-07-05",225 pts | BASE | JGS | QF | Roland Garros Junior Championships | 2025-06-01,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,75 pts | BASE | J300 | QF | J300 Oberpullendorf (Europe Regional Championships) | 2025-09-15,2026-06-02,2026-06-02T23:19:32.276Z
17,17,0,800564568,Lilli Tagger,F,AUT,Austria,2008,1491.75,1491.75,0,1400,367,91.75,3,2,0,0,0,0,false,1000 pts | BASE | JGS | WR | Roland Garros Junior Championships | 2025-06-01,"300 pts | BASE | JGS | QF | The Junior Championships, Wimbledon | 2025-07-05",100 pts | BASE | J300 | QF | J300 Roehampton | 2025-06-29,,,,367 pts | BASE | JGS | SF | Roland Garros Junior Championships | 2025-06-01,0 pts | BASE | J300 | R32 | J300 Roehampton | 2025-06-29,,,,,2026-06-02,2026-06-02T23:19:32.276Z
18,19,1,800656554,Paola Pinera Celorio,F,ESP,Spain,2010,1441,1488.5,47.5,1200,1154,288.5,6,6,2,360,1,1,true,250 pts | BASE | J500 | SF | J500 Offenbach | 2026-05-04,210 pts | BASE | J300 | RU | J300 Beaulieu-sur-Mer | 2026-04-13,210 pts | BASE | J300 | RU | J300 Villena | 2026-03-16,200 pts | BASE | J200 | WR | J200 Hammamet | 2026-01-13,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,150 pts | BASE | J500 | QF | J500 Milan | 2026-05-18,225 pts | BASE | J300 | WR | J300 Beaulieu-sur-Mer | 2026-04-13,225 pts | BASE | J300 | WR | J300 Vrsar | 2026-03-23,187 pts | BASE | J500 | SF | J500 Milan | 2026-05-18,187 pts | BASE | J500 | SF | J500 Offenbach | 2026-05-04,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,150 pts | BASE | J200 | WR | J200 Vigo | 2025-09-30,2026-06-02,2026-06-02T23:19:32.276Z
19,18,-1,800666095,Kanon Sawashiro,F,JPN,Japan,2008,1473,1473,0,1250,892,223,6,6,0,0,0,0,false,300 pts | BASE | JGS | QF | Australian Open Junior Championships | 2026-01-24,300 pts | BASE | J300 | WR | J300 Wanju (Closed Asia Regional Championship) | 2025-10-06,180 pts | BASE | JGS | R16 | US Open Junior Tennis Championships | 2025-08-31,"180 pts | BASE | JGS | R16 | The Junior Championships, Wimbledon | 2025-07-05",150 pts | BASE | J500 | QF | J500 Osaka | 2025-09-22,140 pts | BASE | J300 | SF | J300 Traralgon | 2026-01-16,225 pts | BASE | J300 | WR | J300 Bradenton | 2025-12-01,225 pts | BASE | JGS | QF | US Open Junior Tennis Championships | 2025-08-31,150 pts | BASE | J200 | WR | J200 Chuncheon | 2025-09-30,112 pts | BASE | J500 | QF | J500 Merida | 2025-11-24,105 pts | BASE | J300 | SF | J300 Wanju (Closed Asia Regional Championship) | 2025-10-06,75 pts | BASE | J300 | QF | J300 Repentigny | 2025-08-24,2026-06-02,2026-06-02T23:19:32.276Z
20,21,1,800721825,Felitsata Dorofeeva-Rybas,F,RUS,Russia,2009,1359.75,1451,91.25,1200,1004,251,6,6,2,360,1,1,true,350 pts | BASE | J500 | RU | J500 Cairo | 2026-04-06,250 pts | BASE | J500 | SF | J500 Milan | 2026-05-18,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,140 pts | BASE | J200 | RU | J200 Nonthaburi | 2026-02-23,140 pts | BASE | J200 | RU | J200 Rakovnik | 2025-09-01,140 pts | BASE | J300 | SF | J300 Pancevo | 2025-08-18,187 pts | BASE | J500 | SF | J500 Offenbach | 2026-05-04,187 pts | BASE | J500 | SF | J500 Cairo | 2026-04-06,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,150 pts | BASE | J200 | WR | J200 Nonthaburi | 2026-02-23,150 pts | BASE | J200 | WR | J200 Rakovnik | 2025-09-01,150 pts | BASE | J200 | WR | J200 Belgrade | 2025-08-25,2026-06-02,2026-06-02T23:19:32.276Z
21,20,-1,800671481,Ida Wobker,F,GER,Germany,2010,1376.5,1380.25,3.75,1180,801,200.25,6,6,2,120,0,1,true,500 pts | BASE | J500 | WR | J500 Cairo | 2026-04-06,200 pts | BASE | J200 | WR | J200 Mugla | 2025-09-29,140 pts | BASE | J200 | RU | J200 Oslo | 2025-11-24,140 pts | BASE | J300 | SF | J300 Bamberg | 2025-06-10,100 pts | BASE | J200 | SF | J200 Cap d'Ail | 2026-03-30,100 pts | BASE | J300 | QF | J300 Bytom | 2025-07-22,187 pts | BASE | J500 | SF | J500 Milan | 2026-05-18,157 pts | BASE | J300 | RU | J300 Casablanca | 2026-02-09,150 pts | BASE | J200 | WR | J200 Cap d'Ail | 2026-03-30,112 pts | BASE | J500 | QF | J500 Cairo | 2026-04-06,105 pts | BASE | J200 | RU | J200 Szekesfehervar | 2025-10-22,90 pts | LIVE | JGS | R32 | Roland Garros Junior Championships | 2026-05-31,2026-06-02,2026-06-02T23:19:32.276Z
22,22,0,800758791,Janae Preston,F,USA,USA,2010,1337.75,1349,11.25,1190,636,159,6,6,2,180,1,1,true,300 pts | BASE | J300 | WR | J300 Lima | 2026-02-09,300 pts | BASE | J300 | WR | J300 Salinas | 2026-02-02,300 pts | BASE | J300 | WR | J300 San Jose | 2026-01-19,100 pts | BASE | J300 | QF | J300 Spring - Pan American ITF | 2025-10-06,100 pts | BASE | J100 | WR | J100 Guatemala | 2025-06-02,90 pts | LIVE | JGS | R32 | Roland Garros Junior Championships | 2026-05-31,157 pts | BASE | J300 | RU | J300 Lima | 2026-02-09,112 pts | BASE | J500 | QF | J500 Milan | 2026-05-18,105 pts | BASE | J300 | SF | J300 Salinas | 2026-02-02,105 pts | BASE | J300 | SF | J300 Spring - Pan American ITF | 2025-10-06,90 pts | LIVE | JGS | R32 | Roland Garros Junior Championships | 2026-05-31,67 pts | BASE | J500 | R16 | J500 Merida | 2025-11-24,2026-06-02,2026-06-02T23:19:32.276Z
23,24,1,800636696,Anna Pushkareva,F,RUS,Russia,2009,1312.25,1338.5,26.25,1110,914,228.5,6,6,2,270,1,1,true,350 pts | BASE | J500 | RU | J500 Osaka | 2025-09-22,200 pts | BASE | J200 | WR | J200 Castricum | 2025-07-01,180 pts | BASE | JGS | R16 | Australian Open Junior Championships | 2026-01-24,150 pts | BASE | J500 | QF | J500 Offenbach | 2026-05-04,140 pts | BASE | J300 | SF | J300 Beijing | 2025-09-16,90 pts | LIVE | JGS | R32 | Roland Garros Junior Championships | 2026-05-31,187 pts | BASE | J500 | SF | J500 Offenbach | 2026-05-04,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,157 pts | BASE | J300 | RU | J300 Pancevo | 2025-08-18,150 pts | BASE | J200 | WR | J200 Belgrade | 2025-08-25,135 pts | BASE | JGS | R16 | Australian Open Junior Championships | 2026-01-24,105 pts | BASE | J300 | SF | J300 Kuching | 2026-04-07,2026-06-02,2026-06-02T23:19:32.276Z
24,23,-1,800640357,Giulia Safina Popa,F,ROU,Romania,2009,1326,1331.75,5.75,1180,607,151.75,6,6,2,180,1,1,true,300 pts | BASE | J300 | WR | J300 Vrsar | 2026-03-23,300 pts | BASE | J300 | WR | J300 Bytom | 2025-07-22,200 pts | BASE | J200 | WR | J200 Szekesfehervar | 2025-10-22,150 pts | BASE | J500 | QF | J500 Cairo | 2026-04-06,140 pts | BASE | J300 | SF | J300 Cairo | 2026-03-30,90 pts | LIVE | JGS | R32 | Roland Garros Junior Championships | 2026-05-31,187 pts | BASE | J500 | SF | J500 Merida | 2025-11-24,105 pts | BASE | J200 | RU | J200 Szekesfehervar | 2025-10-22,90 pts | LIVE | JGS | R32 | Roland Garros Junior Championships | 2026-05-31,75 pts | BASE | J300 | QF | J300 Vrsar | 2026-03-23,75 pts | BASE | J300 | QF | J300 Zapopan | 2025-11-17,75 pts | BASE | J300 | QF | J300 Bamberg | 2025-06-10,2026-06-02,2026-06-02T23:19:32.276Z
25,25,0,800731351,Yushan Shao,F,CHN,"China, P.R.",2008,1261,1289.25,28.25,1070,877,219.25,6,6,2,270,0,1,true,300 pts | BASE | JGS | QF | Australian Open Junior Championships | 2026-01-24,210 pts | BASE | J300 | RU | J300 Beijing | 2025-09-16,180 pts | BASE | JGS | R16 | US Open Junior Tennis Championships | 2025-08-31,140 pts | BASE | J300 | SF | J300 Nonthaburi | 2026-03-02,140 pts | BASE | J300 | SF | J300 Repentigny | 2025-08-24,100 pts | BASE | J300 | QF | J300 College Park | 2025-08-18,225 pts | BASE | J300 | WR | J300 Beijing | 2025-09-16,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,157 pts | BASE | J300 | RU | J300 College Park | 2025-08-18,"135 pts | BASE | JGS | R16 | The Junior Championships, Wimbledon | 2025-07-05",105 pts | BASE | J300 | SF | J300 Traralgon | 2026-01-16,75 pts | BASE | J300 | QF | J300 Bamberg | 2025-06-10,2026-06-02,2026-06-02T23:19:32.276Z
26,26,0,800702416,Thea Frodin,F,USA,USA,2008,1243.5,1249.25,5.75,820,1717,429.25,6,6,2,210,0,1,true,490 pts | BASE | JGS | SF | Australian Open Junior Championships | 2026-01-24,90 pts | BASE | JGS | R32 | US Open Junior Tennis Championships | 2025-08-31,90 pts | BASE | JGS | R32 | Roland Garros Junior Championships | 2025-06-01,60 pts | BASE | J300 | R16 | J300 Roehampton | 2025-06-29,45 pts | BASE | J500 | R32 | J500 Fort Lauderdale | 2025-12-08,45 pts | BASE | J500 | R32 | J500 Merida | 2025-11-24,"525 pts | BASE | JGS | RU | The Junior Championships, Wimbledon | 2025-07-05",375 pts | BASE | J500 | WR | J500 Merida | 2025-11-24,225 pts | BASE | JGS | QF | Australian Open Junior Championships | 2026-01-24,225 pts | BASE | JGS | QF | US Open Junior Tennis Championships | 2025-08-31,187 pts | BASE | J500 | SF | J500 Fort Lauderdale | 2025-12-08,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,2026-06-02,2026-06-02T23:19:32.276Z
27,29,2,800646432,Jordyn Hazelitt,F,USA,USA,2010,1221,1239.75,18.75,970,1079,269.75,6,6,2,210,0,1,true,300 pts | BASE | J300 | WR | J300 San Diego (North American Regional Championships) | 2026-03-16,210 pts | BASE | J300 | RU | J300 Barranquilla | 2026-01-26,200 pts | BASE | J200 | WR | J200 Corpus Christi | 2025-09-29,140 pts | BASE | J200 | RU | J200 Veracruz | 2025-06-23,60 pts | BASE | J300 | R16 | J300 San Jose | 2026-01-19,60 pts | BASE | J300 | R16 | J300 Spring - Pan American ITF | 2025-10-06,225 pts | BASE | J300 | WR | J300 San Diego (North American Regional Championships) | 2026-03-16,225 pts | BASE | J300 | WR | J300 Barranquilla | 2026-01-26,225 pts | BASE | J300 | WR | J300 San Jose | 2026-01-19,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,112 pts | BASE | J500 | QF | J500 Milan | 2026-05-18,112 pts | BASE | J500 | QF | J500 Merida | 2025-11-24,2026-06-02,2026-06-02T23:19:32.276Z
