official_rebuild_rank,simulated_rank,player_id,player_name,gender,country,country_name,birth_year,official_rebuild_points,official_rebuild_singles_points,official_rebuild_doubles_raw,official_rebuild_doubles_weighted,official_rebuild_singles_count,official_rebuild_doubles_count,simulated_points,simulated_singles_points,simulated_doubles_raw,simulated_doubles_weighted,simulated_singles_results_used,simulated_doubles_results_used,best_singles_1,best_singles_2,best_singles_3,best_singles_4,best_singles_5,best_singles_6,best_doubles_1,best_doubles_2,best_doubles_3,best_doubles_4,best_doubles_5,best_doubles_6,calculated_at
1,1,800591535,Ksenia Efremova,F,FRA,France,2009,2718,2510,832,208,6,6,2718,2510,832,208,6,6,1000 pts | countable | JGS | WR | Australian Open Junior Championships | 2026-01-24,500 pts | countable | J500 | WR | J500 Osaka | 2025-09-22,300 pts | countable | JGS | QF | US Open Junior Tennis Championships | 2025-08-31,300 pts | countable | J300 | WR | J300 Repentigny | 2025-08-24,210 pts | countable | J300 | RU | J300 Traralgon | 2026-01-16,200 pts | countable | J200 | WR | J200 Hong Kong | 2025-09-30,375 pts | countable | J500 | WR | J500 Osaka | 2025-09-22,157 pts | countable | J300 | RU | J300 Repentigny | 2025-08-24,150 pts | countable | J200 | WR | J200 Hong Kong | 2025-09-30,105 pts | countable | J300 | SF | J300 College Park | 2025-08-18,45 pts | countable | J300 | R16 | J300 Roehampton | 2025-06-29,0 pts | countable | J300 | R32 | J300 Traralgon | 2026-01-16,2026-06-02T20:42:05.214Z
2,2,800677732,Xinran Sun,F,CHN,"China, P.R.",2010,2318,2080,952,238,6,6,2318,2080,952,238,6,6,500 pts | countable | J500 | WR | J500 Milan | 2026-05-18,500 pts | countable | J500 | WR | J500 Fort Lauderdale | 2025-12-08,300 pts | countable | J300 | WR | J300 Plovdiv | 2026-04-28,300 pts | countable | JGS | QF | Australian Open Junior Championships | 2026-01-24,300 pts | countable | J300 | WR | J300 Traralgon | 2026-01-16,180 pts | countable | JGS | R16 | US Open Junior Tennis Championships | 2025-08-31,225 pts | countable | J300 | WR | J300 Bradenton | 2025-12-01,225 pts | countable | J300 | WR | J300 Beijing | 2025-09-16,157 pts | countable | J300 | RU | J300 College Park | 2025-08-18,"135 pts | countable | JGS | R16 | The Junior Championships, Wimbledon | 2025-07-05",105 pts | countable | J300 | SF | J300 Plovdiv | 2026-04-28,105 pts | countable | J300 | SF | J300 Traralgon | 2026-01-16,2026-06-02T20:42:05.214Z
3,3,800572951,Alena Kovackova,F,CZE,Czechia,2008,2199.75,1480,2879,719.75,6,6,2199.75,1480,2879,719.75,6,6,500 pts | countable | J500 | WR | J500 Merida | 2025-11-24,420 pts | countable | JM | WR | 2025 ITF World Tennis Tour Junior Finals | 2025-10-22,180 pts | countable | JGS | R16 | Australian Open Junior Championships | 2026-01-24,180 pts | countable | JGS | R16 | Roland Garros Junior Championships | 2025-06-01,100 pts | countable | J300 | QF | J300 Traralgon | 2026-01-16,100 pts | countable | J300 | QF | J300 Zapopan | 2025-11-17,750 pts | countable | JGS | WR | Australian Open Junior Championships | 2026-01-24,750 pts | countable | JGS | WR | US Open Junior Tennis Championships | 2025-08-31,525 pts | countable | JGS | RU | Roland Garros Junior Championships | 2025-06-01,"367 pts | countable | JGS | SF | The Junior Championships, Wimbledon | 2025-07-05",262 pts | countable | J500 | RU | J500 Merida | 2025-11-24,225 pts | non_countable | J300 | WR | J300 Zapopan | 2025-11-17,2026-06-02T20:42:05.214Z
4,4,800655335,Victoria Luiza Barros,F,BRA,Brazil,2009,2194,1930,1056,264,6,6,2194,1930,1056,264,6,6,500 pts | countable | J500 | WR | J500 Offenbach | 2026-05-04,350 pts | countable | J500 | RU | J500 Gaspar | 2026-03-16,350 pts | countable | J500 | RU | J500 Merida | 2025-11-24,300 pts | countable | J300 | WR | J300 Bamberg | 2025-06-10,250 pts | countable | J500 | SF | J500 Fort Lauderdale | 2025-12-08,180 pts | countable | JGS | R16 | Roland Garros Junior Championships | 2025-06-01,225 pts | countable | JGS | QF | US Open Junior Tennis Championships | 2025-08-31,187 pts | countable | J500 | SF | J500 Offenbach | 2026-05-04,187 pts | countable | J500 | SF | J500 Gaspar | 2026-03-16,187 pts | countable | J500 | SF | J500 Merida | 2025-11-24,"135 pts | countable | JGS | R16 | The Junior Championships, Wimbledon | 2025-07-05",135 pts | countable | JGS | R16 | Roland Garros Junior Championships | 2025-06-01,2026-06-02T20:42:05.214Z
5,5,800627475,Mia Pohankova,F,SVK,Slovakia,2008,2189.25,2030,637,159.25,5,4,2189.25,2030,637,159.25,5,4,"1000 pts | countable | JGS | WR | The Junior Championships, Wimbledon | 2025-07-05",550 pts | countable | JM | WR | 2025 ITF World Tennis Tour Junior Finals | 2025-10-22,300 pts | countable | JGS | QF | US Open Junior Tennis Championships | 2025-08-31,180 pts | countable | JGS | R16 | Roland Garros Junior Championships | 2025-06-01,0 pts | countable | J300 | R64 | J300 Roehampton | 2025-06-29,,367 pts | countable | JGS | SF | Roland Garros Junior Championships | 2025-06-01,135 pts | countable | JGS | R16 | US Open Junior Tennis Championships | 2025-08-31,"135 pts | countable | JGS | R16 | The Junior Championships, Wimbledon | 2025-07-05",0 pts | countable | J300 | R32 | J300 Roehampton | 2025-06-29,,,2026-06-02T20:42:05.214Z
6,6,800661515,Jana Kovackova,F,CZE,Czechia,2010,2099.75,1380,2879,719.75,6,6,2099.75,1380,2879,719.75,6,6,300 pts | countable | J300 | WR | J300 Zapopan | 2025-11-17,260 pts | countable | JM | 3 | 2025 ITF World Tennis Tour Junior Finals | 2025-10-22,250 pts | countable | J500 | SF | J500 Milan | 2026-05-18,250 pts | countable | J500 | SF | J500 Merida | 2025-11-24,180 pts | countable | JGS | R16 | US Open Junior Tennis Championships | 2025-08-31,140 pts | countable | J300 | SF | J300 Roehampton | 2025-06-29,750 pts | countable | JGS | WR | Australian Open Junior Championships | 2026-01-24,750 pts | countable | JGS | WR | US Open Junior Tennis Championships | 2025-08-31,525 pts | countable | JGS | RU | Roland Garros Junior Championships | 2025-06-01,"367 pts | countable | JGS | SF | The Junior Championships, Wimbledon | 2025-07-05",262 pts | countable | J500 | RU | J500 Merida | 2025-11-24,225 pts | non_countable | J300 | WR | J300 Zapopan | 2025-11-17,2026-06-02T20:42:05.214Z
7,7,800631038,Hannah Klugman,F,GBR,Great Britain,2009,2047.5,1980,270,67.5,4,3,2047.5,1980,270,67.5,4,3,700 pts | countable | JGS | RU | Roland Garros Junior Championships | 2025-06-01,490 pts | countable | JM | SF | 2025 ITF World Tennis Tour Junior Finals | 2025-10-22,490 pts | countable | JGS | SF | US Open Junior Tennis Championships | 2025-08-31,"300 pts | countable | JGS | QF | The Junior Championships, Wimbledon | 2025-07-05",,,135 pts | countable | JGS | R16 | US Open Junior Tennis Championships | 2025-08-31,"135 pts | countable | JGS | R16 | The Junior Championships, Wimbledon | 2025-07-05",0 pts | countable | JGS | R32 | Roland Garros Junior Championships | 2025-06-01,,,,2026-06-02T20:42:05.214Z
8,8,800719373,Kristina Penickova,F,USA,USA,2009,1905.5,1480,1702,425.5,6,5,1905.5,1480,1702,425.5,6,5,700 pts | countable | JM | RU | 2025 ITF World Tennis Tour Junior Finals | 2025-10-22,250 pts | countable | J500 | SF | J500 Osaka | 2025-09-22,200 pts | countable | J200 | WR | J200 Chuncheon | 2025-09-30,180 pts | countable | JGS | R16 | US Open Junior Tennis Championships | 2025-08-31,"90 pts | countable | JGS | R32 | The Junior Championships, Wimbledon | 2025-07-05",60 pts | countable | J300 | R16 | J300 Roehampton | 2025-06-29,"750 pts | countable | JGS | WR | The Junior Championships, Wimbledon | 2025-07-05",375 pts | countable | J500 | WR | J500 Osaka | 2025-09-22,367 pts | countable | JGS | SF | Roland Garros Junior Championships | 2025-06-01,135 pts | countable | JGS | R16 | US Open Junior Tennis Championships | 2025-08-31,75 pts | countable | J300 | QF | J300 Roehampton | 2025-06-29,,2026-06-02T20:42:05.215Z
9,9,800695060,Nauhany Vitoria Leme Da Silva,F,BRA,Brazil,2010,1743,1460,1132,283,6,6,1743,1460,1132,283,6,6,500 pts | countable | J500 | WR | J500 Gaspar | 2026-03-16,300 pts | countable | J300 | WR | J300 Porto Alegre | 2026-03-09,300 pts | countable | J300 | WR | J300 Santa Cruz (South America Regional Championships) | 2026-02-23,"180 pts | countable | JGS | R16 | The Junior Championships, Wimbledon | 2025-07-05",90 pts | countable | J500 | R16 | J500 Milan | 2026-05-18,90 pts | countable | JGS | R32 | Roland Garros Junior Championships | 2025-06-01,375 pts | countable | J500 | WR | J500 Milan | 2026-05-18,262 pts | countable | J500 | RU | J500 Gaspar | 2026-03-16,225 pts | countable | J300 | WR | J300 Porto Alegre | 2026-03-09,225 pts | countable | J300 | WR | J300 Santa Cruz (South America Regional Championships) | 2026-02-23,45 pts | countable | J300 | R16 | J300 Roehampton | 2025-06-29,0 pts | countable | J300 | R16 | J300 Repentigny | 2025-08-24,2026-06-02T20:42:05.215Z
10,10,800692835,Julieta Pareja,F,USA,USA,2009,1706.75,1480,907,226.75,4,3,1706.75,1480,907,226.75,4,3,"700 pts | countable | JGS | RU | The Junior Championships, Wimbledon | 2025-07-05",300 pts | countable | J300 | WR | J300 Roehampton | 2025-06-29,300 pts | countable | JGS | QF | Roland Garros Junior Championships | 2025-06-01,180 pts | countable | JGS | R16 | US Open Junior Tennis Championships | 2025-08-31,,,"525 pts | countable | JGS | RU | The Junior Championships, Wimbledon | 2025-07-05",225 pts | countable | JGS | QF | Roland Garros Junior Championships | 2025-06-01,157 pts | countable | J300 | RU | J300 Roehampton | 2025-06-29,,,,2026-06-02T20:42:05.215Z
11,11,800579453,Julia Stusek,F,GER,Germany,2008,1675.5,1460,862,215.5,6,5,1675.5,1460,862,215.5,6,5,360 pts | countable | JM | RU | 2025 ITF World Tennis Tour Junior Finals | 2025-10-22,300 pts | countable | JGS | QF | US Open Junior Tennis Championships | 2025-08-31,300 pts | countable | JGS | QF | Roland Garros Junior Championships | 2025-06-01,210 pts | countable | J300 | RU | J300 Bytom | 2025-07-22,200 pts | countable | J200 | WR | J200 Rutesheim | 2025-08-05,"90 pts | countable | JGS | R32 | The Junior Championships, Wimbledon | 2025-07-05","367 pts | countable | JGS | SF | The Junior Championships, Wimbledon | 2025-07-05",225 pts | countable | JGS | QF | US Open Junior Tennis Championships | 2025-08-31,225 pts | countable | J300 | WR | J300 Bytom | 2025-07-22,45 pts | countable | J300 | R16 | J300 Roehampton | 2025-06-29,0 pts | countable | JGS | R32 | Roland Garros Junior Championships | 2025-06-01,,2026-06-02T20:42:05.215Z
12,12,800598140,Anastasija Cvetkovic,F,SRB,Serbia,2008,1660.75,1320,1363,340.75,6,6,1660.75,1320,1363,340.75,6,6,350 pts | countable | J500 | RU | J500 Offenbach | 2026-05-04,250 pts | countable | J500 | SF | J500 Fort Lauderdale | 2025-12-08,210 pts | countable | J300 | RU | J300 Plovdiv | 2026-04-28,210 pts | countable | J300 | RU | J300 Bradenton | 2025-12-01,150 pts | countable | J500 | QF | J500 Milan | 2026-05-18,150 pts | countable | J500 | QF | J500 Merida | 2025-11-24,375 pts | countable | J500 | WR | J500 Fort Lauderdale | 2025-12-08,262 pts | countable | J500 | RU | J500 Milan | 2026-05-18,225 pts | countable | JGS | QF | Australian Open Junior Championships | 2026-01-24,187 pts | countable | J500 | SF | J500 Merida | 2025-11-24,157 pts | countable | J300 | RU | J300 Santa Croce Sull’Arno | 2026-05-11,157 pts | countable | J300 | RU | J300 Bradenton | 2025-12-01,2026-06-02T20:42:05.215Z
13,13,800659876,Sol Ailin Larraya Guidi,F,ARG,Argentina,2008,1649,1310,1356,339,6,6,1649,1310,1356,339,6,6,300 pts | countable | J300 | WR | J300 Asuncion | 2026-03-02,250 pts | countable | J500 | SF | J500 Gaspar | 2026-03-16,210 pts | countable | J300 | RU | J300 Santa Cruz (South America Regional Championships) | 2026-02-23,210 pts | countable | J300 | RU | J300 Asuncion (Junior Pan American Games) | 2025-08-11,200 pts | countable | J200 | WR | J200 La Paz | 2025-11-10,140 pts | non_countable | J300 | SF | J300 Porto Alegre | 2026-03-09,262 pts | countable | J500 | RU | J500 Milan | 2026-05-18,262 pts | countable | J500 | RU | J500 Gaspar | 2026-03-16,225 pts | countable | J300 | WR | J300 Porto Alegre | 2026-03-09,225 pts | countable | J300 | WR | J300 Santa Cruz (South America Regional Championships) | 2026-02-23,225 pts | countable | J300 | WR | J300 Asuncion (Junior Pan American Games) | 2025-08-11,157 pts | countable | J300 | RU | J300 Bradenton | 2025-12-01,2026-06-02T20:42:05.215Z
14,14,800644962,Mariia Makarova,F,RUS,Russia,2010,1640.5,1410,922,230.5,6,6,1640.5,1410,922,230.5,6,6,350 pts | countable | J500 | RU | J500 Milan | 2026-05-18,300 pts | countable | JGS | QF | Australian Open Junior Championships | 2026-01-24,300 pts | countable | J300 | WR | J300 Sanxenxo | 2025-09-23,200 pts | countable | J200 | WR | J200 Cairo | 2025-11-10,200 pts | countable | J200 | WR | J200 Cairo | 2025-11-03,60 pts | countable | J300 | R16 | J300 Traralgon | 2026-01-16,367 pts | countable | JGS | SF | Australian Open Junior Championships | 2026-01-24,225 pts | countable | J300 | WR | J300 Traralgon | 2026-01-16,150 pts | countable | J200 | WR | J200 Cairo | 2025-11-10,105 pts | countable | J300 | SF | J300 Sanxenxo | 2025-09-23,75 pts | countable | J200 | SF | J200 Cairo | 2025-11-03,0 pts | countable | J500 | R16 | J500 Milan | 2026-05-18,2026-06-02T20:42:05.215Z
15,15,800601474,Mariella Thamm,F,GER,Germany,2009,1591.25,1340,1005,251.25,6,6,1591.25,1340,1005,251.25,6,6,300 pts | countable | J300 | WR | J300 Charleroi-Marcinelle | 2026-05-25,300 pts | countable | J300 | WR | J300 Villena | 2026-03-16,200 pts | countable | J200 | WR | J200 Valencia | 2026-03-02,200 pts | countable | J200 | WR | J200 Oberhaching | 2026-02-02,200 pts | countable | J200 | WR | J200 Belgrade | 2025-08-25,140 pts | countable | J200 | RU | J200 Benicarlo | 2026-03-10,375 pts | countable | J500 | WR | J500 Offenbach | 2026-05-04,150 pts | countable | J200 | WR | J200 Oberhaching | 2026-02-02,135 pts | countable | JGS | R16 | Australian Open Junior Championships | 2026-01-24,135 pts | countable | JGS | R16 | Roland Garros Junior Championships | 2025-06-01,105 pts | countable | J300 | SF | J300 Charleroi-Marcinelle | 2026-05-25,105 pts | countable | J200 | RU | J200 Belgrade | 2025-08-25,2026-06-02T20:42:05.215Z
16,16,800672253,Charo Esquiva Banuls,F,ESP,Spain,2008,1506.25,1225,1125,281.25,6,6,1506.25,1225,1125,281.25,6,6,300 pts | countable | JGS | QF | US Open Junior Tennis Championships | 2025-08-31,260 pts | countable | JM | SF | 2025 ITF World Tennis Tour Junior Finals | 2025-10-22,210 pts | countable | J300 | RU | J300 Oberpullendorf (Europe Regional Championships) | 2025-09-15,"180 pts | countable | JGS | R16 | The Junior Championships, Wimbledon | 2025-07-05",180 pts | countable | JGS | R16 | Roland Garros Junior Championships | 2025-06-01,95 pts | countable | GC |  | Tennis Europe Summer Cups (G18) | 2025-08-04,375 pts | countable | J500 | WR | J500 Milan | 2026-05-18,225 pts | countable | JGS | QF | US Open Junior Tennis Championships | 2025-08-31,"225 pts | countable | JGS | QF | The Junior Championships, Wimbledon | 2025-07-05",225 pts | countable | JGS | QF | Roland Garros Junior Championships | 2025-06-01,75 pts | countable | J300 | QF | J300 Oberpullendorf (Europe Regional Championships) | 2025-09-15,0 pts | non_countable | GC |  | Tennis Europe Summer Cups (G18) | 2025-08-04,2026-06-02T20:42:05.215Z
17,17,800564568,Lilli Tagger,F,AUT,Austria,2008,1491.75,1400,367,91.75,3,2,1491.75,1400,367,91.75,3,2,1000 pts | countable | JGS | WR | Roland Garros Junior Championships | 2025-06-01,"300 pts | countable | JGS | QF | The Junior Championships, Wimbledon | 2025-07-05",100 pts | countable | J300 | QF | J300 Roehampton | 2025-06-29,,,,367 pts | countable | JGS | SF | Roland Garros Junior Championships | 2025-06-01,0 pts | countable | J300 | R32 | J300 Roehampton | 2025-06-29,,,,,2026-06-02T20:42:05.215Z
18,18,800666095,Kanon Sawashiro,F,JPN,Japan,2008,1473,1250,892,223,6,6,1473,1250,892,223,6,6,300 pts | countable | JGS | QF | Australian Open Junior Championships | 2026-01-24,300 pts | countable | J300 | WR | J300 Wanju (Closed Asia Regional Championship) | 2025-10-06,180 pts | countable | JGS | R16 | US Open Junior Tennis Championships | 2025-08-31,"180 pts | countable | JGS | R16 | The Junior Championships, Wimbledon | 2025-07-05",150 pts | countable | J500 | QF | J500 Osaka | 2025-09-22,140 pts | countable | J300 | SF | J300 Traralgon | 2026-01-16,225 pts | countable | J300 | WR | J300 Bradenton | 2025-12-01,225 pts | countable | JGS | QF | US Open Junior Tennis Championships | 2025-08-31,150 pts | countable | J200 | WR | J200 Chuncheon | 2025-09-30,112 pts | countable | J500 | QF | J500 Merida | 2025-11-24,105 pts | countable | J300 | SF | J300 Wanju (Closed Asia Regional Championship) | 2025-10-06,75 pts | non_countable | J300 | QF | J300 Repentigny | 2025-08-24,2026-06-02T20:42:05.215Z
19,19,800656554,Paola Pinera Celorio,F,ESP,Spain,2010,1441,1160,1124,281,6,6,1441,1160,1124,281,6,6,250 pts | countable | J500 | SF | J500 Offenbach | 2026-05-04,210 pts | countable | J300 | RU | J300 Beaulieu-sur-Mer | 2026-04-13,210 pts | countable | J300 | RU | J300 Villena | 2026-03-16,200 pts | countable | J200 | WR | J200 Hammamet | 2026-01-13,150 pts | countable | J500 | QF | J500 Milan | 2026-05-18,140 pts | countable | J300 | SF | J300 Vrsar | 2026-03-23,225 pts | countable | J300 | WR | J300 Beaulieu-sur-Mer | 2026-04-13,225 pts | countable | J300 | WR | J300 Vrsar | 2026-03-23,187 pts | countable | J500 | SF | J500 Milan | 2026-05-18,187 pts | countable | J500 | SF | J500 Offenbach | 2026-05-04,150 pts | countable | J200 | WR | J200 Vigo | 2025-09-30,150 pts | countable | J200 | WR | J200 Rakovnik | 2025-09-01,2026-06-02T20:42:05.215Z
20,20,800671481,Ida Wobker,F,GER,Germany,2010,1376.5,1180,786,196.5,6,6,1376.5,1180,786,196.5,6,6,500 pts | countable | J500 | WR | J500 Cairo | 2026-04-06,200 pts | countable | J200 | WR | J200 Mugla | 2025-09-29,140 pts | countable | J200 | RU | J200 Oslo | 2025-11-24,140 pts | countable | J300 | SF | J300 Bamberg | 2025-06-10,100 pts | countable | J200 | SF | J200 Cap d'Ail | 2026-03-30,100 pts | countable | J300 | QF | J300 Bytom | 2025-07-22,187 pts | countable | J500 | SF | J500 Milan | 2026-05-18,157 pts | countable | J300 | RU | J300 Casablanca | 2026-02-09,150 pts | countable | J200 | WR | J200 Cap d'Ail | 2026-03-30,112 pts | countable | J500 | QF | J500 Cairo | 2026-04-06,105 pts | countable | J200 | RU | J200 Szekesfehervar | 2025-10-22,75 pts | countable | J300 | QF | J300 Bamberg | 2025-06-10,2026-06-02T20:42:05.215Z
21,21,800721825,Felitsata Dorofeeva-Rybas,F,RUS,Russia,2009,1359.75,1120,959,239.75,6,6,1359.75,1120,959,239.75,6,6,350 pts | countable | J500 | RU | J500 Cairo | 2026-04-06,250 pts | countable | J500 | SF | J500 Milan | 2026-05-18,140 pts | countable | J200 | RU | J200 Nonthaburi | 2026-02-23,140 pts | countable | J200 | RU | J200 Rakovnik | 2025-09-01,140 pts | countable | J300 | SF | J300 Pancevo | 2025-08-18,100 pts | countable | J300 | QF | J300 Nonthaburi | 2026-03-02,187 pts | countable | J500 | SF | J500 Offenbach | 2026-05-04,187 pts | countable | J500 | SF | J500 Cairo | 2026-04-06,150 pts | countable | J200 | WR | J200 Nonthaburi | 2026-02-23,150 pts | countable | J200 | WR | J200 Rakovnik | 2025-09-01,150 pts | countable | J200 | WR | J200 Belgrade | 2025-08-25,135 pts | countable | JGS | R16 | Australian Open Junior Championships | 2026-01-24,2026-06-02T20:42:05.215Z
22,22,800758791,Janae Preston,F,USA,USA,2010,1337.75,1190,591,147.75,6,6,1337.75,1190,591,147.75,6,6,300 pts | countable | J300 | WR | J300 Lima | 2026-02-09,300 pts | countable | J300 | WR | J300 Salinas | 2026-02-02,300 pts | countable | J300 | WR | J300 San Jose | 2026-01-19,100 pts | countable | J300 | QF | J300 Spring - Pan American ITF | 2025-10-06,100 pts | countable | J100 | WR | J100 Guatemala | 2025-06-02,90 pts | countable | J500 | R16 | J500 Merida | 2025-11-24,157 pts | countable | J300 | RU | J300 Lima | 2026-02-09,112 pts | countable | J500 | QF | J500 Milan | 2026-05-18,105 pts | countable | J300 | SF | J300 Salinas | 2026-02-02,105 pts | countable | J300 | SF | J300 Spring - Pan American ITF | 2025-10-06,67 pts | countable | J500 | R16 | J500 Merida | 2025-11-24,45 pts | non_countable | J100 | RU | J100 Guatemala | 2025-06-09,2026-06-02T20:42:05.215Z
23,23,800640357,Giulia Safina Popa,F,ROU,Romania,2009,1326,1180,584,146,6,6,1326,1180,584,146,6,6,300 pts | countable | J300 | WR | J300 Vrsar | 2026-03-23,300 pts | countable | J300 | WR | J300 Bytom | 2025-07-22,200 pts | countable | J200 | WR | J200 Szekesfehervar | 2025-10-22,150 pts | countable | J500 | QF | J500 Cairo | 2026-04-06,140 pts | countable | J300 | SF | J300 Cairo | 2026-03-30,90 pts | countable | J500 | R16 | J500 Offenbach | 2026-05-04,187 pts | countable | J500 | SF | J500 Merida | 2025-11-24,105 pts | countable | J200 | RU | J200 Szekesfehervar | 2025-10-22,75 pts | countable | J300 | QF | J300 Vrsar | 2026-03-23,75 pts | countable | J300 | QF | J300 Zapopan | 2025-11-17,75 pts | countable | J300 | QF | J300 Bamberg | 2025-06-10,67 pts | countable | J500 | R16 | J500 Milan | 2026-05-18,2026-06-02T20:42:05.215Z
24,24,800636696,Anna Pushkareva,F,RUS,Russia,2009,1312.25,1110,809,202.25,6,6,1312.25,1110,809,202.25,6,6,350 pts | countable | J500 | RU | J500 Osaka | 2025-09-22,200 pts | countable | J200 | WR | J200 Castricum | 2025-07-01,180 pts | countable | JGS | R16 | Australian Open Junior Championships | 2026-01-24,150 pts | countable | J500 | QF | J500 Offenbach | 2026-05-04,140 pts | countable | J300 | SF | J300 Beijing | 2025-09-16,90 pts | countable | J500 | R16 | J500 Milan | 2026-05-18,187 pts | countable | J500 | SF | J500 Offenbach | 2026-05-04,157 pts | countable | J300 | RU | J300 Pancevo | 2025-08-18,150 pts | countable | J200 | WR | J200 Belgrade | 2025-08-25,135 pts | countable | JGS | R16 | Australian Open Junior Championships | 2026-01-24,105 pts | countable | J300 | SF | J300 Kuching | 2026-04-07,75 pts | countable | J300 | QF | J300 Beijing | 2025-09-16,2026-06-02T20:42:05.215Z
25,25,800731351,Yushan Shao,F,CHN,"China, P.R.",2008,1261,1070,764,191,6,6,1261,1070,764,191,6,6,300 pts | countable | JGS | QF | Australian Open Junior Championships | 2026-01-24,210 pts | countable | J300 | RU | J300 Beijing | 2025-09-16,180 pts | countable | JGS | R16 | US Open Junior Tennis Championships | 2025-08-31,140 pts | countable | J300 | SF | J300 Nonthaburi | 2026-03-02,140 pts | countable | J300 | SF | J300 Repentigny | 2025-08-24,100 pts | non_countable | J300 | QF | J300 College Park | 2025-08-18,225 pts | countable | J300 | WR | J300 Beijing | 2025-09-16,157 pts | countable | J300 | RU | J300 College Park | 2025-08-18,"135 pts | countable | JGS | R16 | The Junior Championships, Wimbledon | 2025-07-05",105 pts | countable | J300 | SF | J300 Traralgon | 2026-01-16,75 pts | countable | J300 | QF | J300 Bamberg | 2025-06-10,67 pts | countable | J500 | R16 | J500 Milan | 2026-05-18,2026-06-02T20:42:05.216Z
26,26,800702416,Thea Frodin,F,USA,USA,2008,1243.5,820,1694,423.5,6,6,1243.5,820,1694,423.5,6,6,490 pts | countable | JGS | SF | Australian Open Junior Championships | 2026-01-24,90 pts | countable | JGS | R32 | US Open Junior Tennis Championships | 2025-08-31,90 pts | countable | JGS | R32 | Roland Garros Junior Championships | 2025-06-01,60 pts | countable | J300 | R16 | J300 Roehampton | 2025-06-29,45 pts | countable | J500 | R32 | J500 Fort Lauderdale | 2025-12-08,45 pts | countable | J500 | R32 | J500 Merida | 2025-11-24,"525 pts | countable | JGS | RU | The Junior Championships, Wimbledon | 2025-07-05",375 pts | countable | J500 | WR | J500 Merida | 2025-11-24,225 pts | countable | JGS | QF | Australian Open Junior Championships | 2026-01-24,225 pts | countable | JGS | QF | US Open Junior Tennis Championships | 2025-08-31,187 pts | countable | J500 | SF | J500 Fort Lauderdale | 2025-12-08,157 pts | countable | J300 | RU | J300 Roehampton | 2025-06-29,2026-06-02T20:42:05.216Z
27,27,800635479,Alexandra Malova,F,RUS,Russia,2008,1232.25,1030,809,202.25,6,6,1232.25,1030,809,202.25,6,6,250 pts | countable | J500 | SF | J500 Cairo | 2026-04-06,200 pts | countable | J200 | WR | J200 Fergana | 2025-10-06,200 pts | countable | J200 | WR | J200 Pretoria | 2025-09-15,140 pts | countable | J200 | RU | J200 Cairo | 2025-11-03,140 pts | countable | J200 | RU | J200 Pretoria | 2025-09-08,100 pts | countable | J300 | QF | J300 Cairo | 2026-03-30,367 pts | countable | JGS | SF | Australian Open Junior Championships | 2026-01-24,112 pts | countable | J500 | QF | J500 Cairo | 2026-04-06,105 pts | countable | J200 | RU | J200 Fergana | 2025-10-06,75 pts | countable | J300 | QF | J300 Cairo | 2026-03-30,75 pts | countable | J300 | QF | J300 Traralgon | 2026-01-16,75 pts | countable | J200 | SF | J200 Pretoria | 2025-09-15,2026-06-02T20:42:05.216Z
28,28,800632131,Maaya Rajeshwaran Revathi,F,IND,India,2009,1227.25,980,989,247.25,6,6,1227.25,980,989,247.25,6,6,300 pts | countable | J300 | WR | J300 Beaulieu-sur-Mer | 2026-04-13,200 pts | countable | J200 | WR | J200 Gladbeck | 2025-06-17,140 pts | countable | J300 | SF | J300 Cairo | 2026-03-30,140 pts | countable | J300 | SF | J300 Villena | 2026-03-16,100 pts | non_countable | J300 | QF | J300 Plovdiv | 2026-04-28,100 pts | countable | J300 | QF | J300 Bradenton | 2025-12-01,375 pts | countable | J500 | WR | J500 Fort Lauderdale | 2025-12-08,157 pts | countable | J300 | RU | J300 Traralgon | 2026-01-16,135 pts | countable | JGS | R16 | Australian Open Junior Championships | 2026-01-24,112 pts | countable | J500 | QF | J500 Milan | 2026-05-18,105 pts | countable | J300 | SF | J300 Zapopan | 2025-11-17,105 pts | countable | J200 | RU | J200 Gladbeck | 2025-06-17,2026-06-02T20:42:05.216Z
29,29,800646432,Jordyn Hazelitt,F,USA,USA,2010,1221,970,1004,251,6,6,1221,970,1004,251,6,6,300 pts | countable | J300 | WR | J300 San Diego (North American Regional Championships) | 2026-03-16,210 pts | countable | J300 | RU | J300 Barranquilla | 2026-01-26,200 pts | countable | J200 | WR | J200 Corpus Christi | 2025-09-29,140 pts | countable | J200 | RU | J200 Veracruz | 2025-06-23,60 pts | countable | J300 | R16 | J300 San Jose | 2026-01-19,60 pts | countable | J300 | R16 | J300 Spring - Pan American ITF | 2025-10-06,225 pts | countable | J300 | WR | J300 San Diego (North American Regional Championships) | 2026-03-16,225 pts | countable | J300 | WR | J300 Barranquilla | 2026-01-26,225 pts | countable | J300 | WR | J300 San Jose | 2026-01-19,112 pts | countable | J500 | QF | J500 Milan | 2026-05-18,112 pts | countable | J500 | QF | J500 Merida | 2025-11-24,105 pts | countable | J200 | RU | J200 Cairo | 2025-11-10,2026-06-02T20:42:05.216Z
