official_rebuild_rank,simulated_rank,player_id,player_name,gender,country,country_name,birth_year,official_rebuild_points,official_rebuild_singles_points,official_rebuild_doubles_raw,official_rebuild_doubles_weighted,official_rebuild_singles_count,official_rebuild_doubles_count,simulated_points,simulated_singles_points,simulated_doubles_raw,simulated_doubles_weighted,simulated_singles_results_used,simulated_doubles_results_used,best_singles_1,best_singles_2,best_singles_3,best_singles_4,best_singles_5,best_singles_6,best_doubles_1,best_doubles_2,best_doubles_3,best_doubles_4,best_doubles_5,best_doubles_6,calculated_at
335,335,800661552,Pavle Stojiljkovic,M,SRB,Serbia,2010,242.5,202,162,40.5,6,6,242.5,202,162,40.5,6,6,60 pts | countable | J60 | WR | J60 Skopje | 2026-04-27,36 pts | countable | J100 | SF | J100 Nairobi | 2025-11-10,36 pts | countable | J60 | RU | J60 Nairobi | 2025-10-27,30 pts | countable | J30 | WR | J30 Subotica | 2026-04-13,30 pts | countable | J30 | WR | J30 Skopje | 2025-08-25,10 pts | countable | J60 | QF | J60 Nairobi | 2025-11-03,45 pts | countable | J60 | WR | J60 Skopje | 2026-04-27,45 pts | countable | J60 | WR | J60 Skopje | 2025-08-04,27 pts | countable | J100 | SF | J100 Nairobi | 2025-11-10,25 pts | countable | J30 | WR | J30 Ulcinj | 2025-09-29,13 pts | countable | J30 | RU | J30 Skopje | 2025-08-25,7 pts | countable | J60 | QF | J60 Belgrade | 2026-01-12,2026-06-02T20:42:05.232Z
337,337,800599348,Georgios Mitalas,M,GRE,Greece,2008,240.5,160,322,80.5,6,6,240.5,160,322,80.5,6,6,36 pts | countable | J200 | R16 | J200 Las Vegas | 2026-03-02,36 pts | countable | J200 | R16 | J200 Siauliai | 2026-02-17,30 pts | countable | J300 | R32 | J300 Astana | 2025-09-08,20 pts | countable | J100 | QF | J100 Nicosia | 2025-11-10,20 pts | countable | J100 | QF | J100 Aridea | 2025-10-06,18 pts | countable | J200 | R32 | J200 Astana | 2025-09-01,75 pts | countable | J200 | SF | J200 Oberhaching | 2026-02-02,67 pts | countable | J500 | R16 | J500 Cairo | 2026-04-06,45 pts | non_countable | J200 | QF | J200 Targu Jiu | 2026-05-18,45 pts | countable | J300 | R16 | J300 Tucson | 2026-03-09,45 pts | countable | J200 | QF | J200 Las Vegas | 2026-03-02,45 pts | countable | J200 | QF | J200 Siauliai | 2026-02-17,2026-06-02T20:42:05.232Z
337,337,800639390,Vincent Fletcher,M,GBR,Great Britain,2009,240.5,182,234,58.5,6,6,240.5,182,234,58.5,6,6,36 pts | countable | J200 | R16 | J200 Aldershot | 2026-04-20,36 pts | countable | J100 | SF | J100 Loughborough | 2026-03-09,36 pts | countable | J60 | RU | J60 Tallinn | 2025-11-17,36 pts | countable | J200 | R16 | J200 Pretoria | 2025-09-15,20 pts | countable | J100 | QF | J100 Aizkraukle | 2026-04-13,18 pts | countable | J60 | SF | J60 Warsaw | 2026-01-28,150 pts | countable | J200 | WR | J200 Aldershot | 2026-04-20,27 pts | countable | J100 | SF | J100 Loughborough | 2025-12-01,15 pts | countable | J100 | QF | J100 Johannesburg | 2025-08-25,14 pts | countable | J60 | SF | J60 Puszczykowo | 2026-02-10,14 pts | countable | J60 | SF | J60 Tallinn | 2025-11-17,14 pts | countable | J60 | SF | J60 Pretoria | 2025-06-09,2026-06-02T20:42:05.232Z
339,339,800593318,Mattia Aiassa,M,SRB,Serbia,2008,238.5,205,134,33.5,6,6,238.5,205,134,33.5,6,6,60 pts | countable | J60 | WR | J60 Skopje | 2025-08-04,45 pts | countable | J500 | R32 | J500 Offenbach | 2026-05-04,30 pts | countable | J300 | R32 | J300 Vrsar | 2026-03-23,30 pts | countable | J30 | WR | J30 Mostar | 2025-09-08,30 pts | countable | J30 | WR | J30 Vinkovci | 2025-07-28,10 pts | non_countable | J100 | R16 | J100 Bucharest | 2026-05-25,45 pts | countable | J60 | WR | J60 Veli Losinj | 2025-09-29,27 pts | countable | J60 | RU | J60 Belgrade | 2026-01-12,25 pts | countable | J30 | WR | J30 Mostar | 2025-09-08,15 pts | countable | J100 | QF | J100 Bucharest | 2026-05-25,15 pts | countable | J100 | QF | J100 Cakovec | 2025-08-18,7 pts | countable | J60 | QF | J60 Skopje | 2025-08-04,2026-06-02T20:42:05.232Z
340,340,800624793,Adrian Oltean Achacollo,M,ESP,Spain,2008,238,148,360,90,6,6,238,148,360,90,6,6,36 pts | countable | J200 | R16 | J200 Aldershot | 2026-04-20,36 pts | countable | J200 | R16 | J200 Oslo | 2025-11-24,20 pts | countable | J100 | QF | J100 Chisinau | 2026-02-23,20 pts | countable | J100 | QF | J100 Stabekk | 2025-11-17,18 pts | countable | J200 | R32 | J200 Kosice | 2026-01-06,18 pts | non_countable | J60 | SF | J60 Salinas | 2025-06-16,75 pts | countable | J300 | QF | J300 Plovdiv | 2026-04-28,75 pts | countable | J100 | WR | J100 Chisinau | 2026-02-23,75 pts | countable | J100 | WR | J100 Salinas | 2025-06-23,45 pts | countable | J200 | QF | J200 Siauliai | 2026-02-17,45 pts | countable | J200 | QF | J200 Kosice | 2026-01-06,45 pts | countable | J100 | RU | J100 Stavanger | 2025-10-06,2026-06-02T20:42:05.232Z
340,340,800601986,Nikolai Shibani,M,NOR,Norway,2008,238,190,192,48,6,6,238,190,192,48,6,6,60 pts | countable | J60 | WR | J60 Ystad | 2026-05-25,60 pts | countable | J60 | WR | J60 Gjovik | 2026-02-24,30 pts | countable | J30 | WR | J30 Sandefjord | 2025-08-18,20 pts | countable | J100 | QF | J100 Bromma | 2025-12-31,10 pts | non_countable | J100 | R16 | J100 Alicante | 2026-04-06,10 pts | non_countable | J60 | QF | J60 Malmo | 2026-01-05,75 pts | countable | J100 | WR | J100 Nicosia | 2025-11-10,45 pts | countable | J60 | WR | J60 Gjovik | 2026-02-24,27 pts | countable | J100 | SF | J100 Liepaja | 2025-08-25,15 pts | non_countable | J100 | QF | J100 Alicante | 2026-04-06,15 pts | non_countable | J100 | QF | J100 Bromma | 2025-12-31,15 pts | countable | J100 | QF | J100 Stabekk | 2025-11-17,2026-06-02T20:42:05.232Z
342,342,800695236,Patrick Breen,M,IRL,Ireland,2010,237.5,206,126,31.5,6,6,237.5,206,126,31.5,6,6,60 pts | countable | J100 | RU | J100 Manacor | 2026-02-02,36 pts | countable | J60 | RU | J60 Belfast | 2025-06-23,30 pts | countable | J30 | WR | J30 Dublin | 2026-02-09,30 pts | countable | J30 | WR | J30 Dublin | 2025-10-27,30 pts | countable | J30 | WR | J30 Dublin | 2025-07-07,20 pts | countable | J100 | QF | J100 Manacor | 2026-01-26,27 pts | countable | J60 | RU | J60 Loughborough | 2025-10-06,27 pts | countable | J60 | RU | J60 Belfast | 2025-06-23,25 pts | countable | J30 | WR | J30 Dublin | 2026-02-09,25 pts | countable | J30 | WR | J30 Dublin | 2025-07-07,15 pts | countable | J100 | QF | J100 Manacor | 2026-01-26,7 pts | countable | J60 | QF | J60 Naas | 2025-06-30,2026-06-02T20:42:05.233Z
342,342,800661025,Thomas PIOT,M,FRA,France,2009,237.5,176,246,61.5,6,6,237.5,176,246,61.5,6,6,60 pts | countable | J60 | WR | J60 Nairobi | 2025-07-14,36 pts | countable | J100 | SF | J100 Bloemfontein | 2026-02-11,20 pts | countable | J100 | QF | J100 Mohammedia | 2026-04-27,20 pts | countable | J100 | QF | J100 Nairobi | 2025-11-10,20 pts | countable | J100 | QF | J100 Accra | 2025-10-06,20 pts | countable | J100 | QF | J100 Accra | 2025-09-29,75 pts | countable | J100 | WR | J100 Algiers | 2026-04-06,45 pts | countable | J60 | WR | J60 Bloemfontein | 2026-02-03,45 pts | countable | J60 | WR | J60 Nairobi | 2025-07-14,27 pts | non_countable | J100 | SF | J100 Lousada | 2026-05-18,27 pts | non_countable | J60 | RU | J60 Algiers | 2026-03-30,27 pts | countable | J100 | SF | J100 Potchefstroom | 2026-02-23,2026-06-02T20:42:05.233Z
344,344,800680033,Pietro Gava,M,BRA,Brazil,2009,236.5,170,266,66.5,6,6,236.5,170,266,66.5,6,6,60 pts | countable | J60 | WR | J60 Tarija | 2026-05-25,36 pts | countable | J60 | RU | J60 Lambare | 2025-07-14,20 pts | countable | J100 | QF | J100 Cochabamba | 2026-05-18,18 pts | countable | J60 | SF | J60 Trujillo | 2026-02-23,18 pts | countable | J30 | RU | J30 Foz Do Iguacu | 2025-10-20,18 pts | countable | J30 | RU | J30 Serra Negra | 2025-08-18,75 pts | countable | J300 | QF | J300 Lima | 2026-02-09,67 pts | countable | J500 | R16 | J500 Gaspar | 2026-03-16,45 pts | countable | J100 | RU | J100 Cochabamba | 2026-05-18,27 pts | countable | J100 | SF | J100 Mendoza | 2026-03-23,27 pts | countable | J60 | RU | J60 São Paulo | 2025-08-25,25 pts | countable | J30 | WR | J30 Luque | 2025-07-07,2026-06-02T20:42:05.233Z
345,345,800665745,Luka Ceramilac,M,SRB,Serbia,2009,234.75,192,171,42.75,6,6,234.75,192,171,42.75,6,6,36 pts | countable | J200 | R16 | J200 Haskovo | 2026-04-21,36 pts | countable | J60 | RU | J60 Belgrade | 2026-01-12,36 pts | countable | J200 | R16 | J200 Oslo | 2025-11-24,36 pts | countable | J200 | R16 | J200 Mugla | 2025-09-29,30 pts | countable | J300 | R32 | J300 Vrsar | 2026-03-23,18 pts | non_countable | J30 | RU | J30 Banja Luka | 2026-02-23,45 pts | countable | J200 | QF | J200 Piestany | 2026-04-14,45 pts | countable | J200 | QF | J200 Oslo | 2025-11-24,27 pts | countable | J60 | RU | J60 Varna | 2025-09-08,25 pts | countable | J30 | WR | J30 Banja Luka | 2026-02-23,15 pts | countable | J100 | QF | J100 Sobota | 2025-06-03,14 pts | non_countable | J60 | SF | J60 Skopje | 2026-04-27,2026-06-02T20:42:05.233Z
