tournament_key,tournament_name,category,start_date,end_date,tournament_id,event_id,player_type_code,player_type_desc,match_type_code,match_type_desc,event_classification_code,event_classification_desc,drawsheet_structure_code,drawsheet_structure_desc,group_name,rr_group_size,rr_group_complete,rr_team1_position,rr_team1_wins,rr_team2_position,rr_team2_wins,round_name,round_order,match_id,play_status_code,play_status_desc,result_status_code,result_status_desc,team1_player_ids,team1_names,team1_nationalities,team1_seed,team1_entry_status,team2_player_ids,team2_names,team2_nationalities,team2_seed,team2_entry_status,winner_side,winner_names,score,h2h_link,live_scores_link,raw_json,collected_at
J-J100-BEL-2026-001,J100 Maaseik,J100,2026-08-03,2026-08-08,1100204004,1100707402,B,Boys,S,Singles,Q,Qualifying Draw,KO,Knock-out,,,,,,,,2nd Round,2,1183638984,NP,Not played,WO,Walkover,800825305,Virgile Husain,BEL,,DA,800708034,Erik Lepmets,EST,,WC,2,Erik Lepmets,,https://www.itftennis.com/en/head-to-head/?circuitCode=jt&player1Id=800825305&player2Id=800708034,,"{""matchId"":1183638984,""h2hLink"":""/en/head-to-head/?circuitCode=jt&player1Id=800825305&player2Id=800708034"",""liveScoresLink"":"""",""teams"":[{""players"":[{""playerId"":800825305,""nationality"":""BEL"",""givenName"":""Virgile"",""familyName"":""Husain"",""profileLink"":""/en/players/virgile-husain/800825305/bel/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":""DA""},{""players"":[{""playerId"":800708034,""nationality"":""EST"",""givenName"":""Erik"",""familyName"":""Lepmets"",""profileLink"":""/en/players/erik-lepmets/800708034/est/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":true,""seeding"":null,""tieNationCode"":null,""entryStatus"":""WC""}],""playStatusCode"":""NP"",""playStatusDesc"":""Not played"",""resultStatusDesc"":""Walkover"",""resultStatusCode"":""WO"",""MatchTypeCode"":null,""CircuitCode"":null}",2026-08-03T21:33:17.819Z
J-J100-BEL-2026-001,J100 Maaseik,J100,2026-08-03,2026-08-08,1100204004,1100707402,B,Boys,S,Singles,Q,Qualifying Draw,KO,Knock-out,,,,,,,,2nd Round,2,1183638985,NP,Not played,WO,Walkover,800653138,Maxim Tolchev,BUL,2,DA,800712765,Mikolaj Szlachcic,POL,,DA,1,Maxim Tolchev,,https://www.itftennis.com/en/head-to-head/?circuitCode=jt&player1Id=800653138&player2Id=800712765,,"{""matchId"":1183638985,""h2hLink"":""/en/head-to-head/?circuitCode=jt&player1Id=800653138&player2Id=800712765"",""liveScoresLink"":"""",""teams"":[{""players"":[{""playerId"":800653138,""nationality"":""BUL"",""givenName"":""Maxim"",""familyName"":""Tolchev"",""profileLink"":""/en/players/maxim-tolchev/800653138/bul/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":true,""seeding"":2,""tieNationCode"":null,""entryStatus"":""DA""},{""players"":[{""playerId"":800712765,""nationality"":""POL"",""givenName"":""Mikolaj"",""familyName"":""Szlachcic"",""profileLink"":""/en/players/mikolaj-szlachcic/800712765/pol/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":""DA""}],""playStatusCode"":""NP"",""playStatusDesc"":""Not played"",""resultStatusDesc"":""Walkover"",""resultStatusCode"":""WO"",""MatchTypeCode"":null,""CircuitCode"":null}",2026-08-03T21:33:17.819Z
J-J100-BEL-2026-001,J100 Maaseik,J100,2026-08-03,2026-08-08,1100204004,1100707402,B,Boys,S,Singles,Q,Qualifying Draw,KO,Knock-out,,,,,,,,2nd Round,2,1183638986,PC,Played and completed,,,800836308,Storm De Bondt,BEL,,DA,800749554,Noah Elias Behrend,GER,,DA,2,Noah Elias Behrend,1-6 1-6,https://www.itftennis.com/en/head-to-head/?circuitCode=jt&player1Id=800836308&player2Id=800749554,,"{""matchId"":1183638986,""h2hLink"":""/en/head-to-head/?circuitCode=jt&player1Id=800836308&player2Id=800749554"",""liveScoresLink"":"""",""teams"":[{""players"":[{""playerId"":800836308,""nationality"":""BEL"",""givenName"":""Storm"",""familyName"":""De Bondt"",""profileLink"":""/en/players/storm-de-bondt/800836308/bel/jt/s/"",""hiddenPlayer"":false},null],""scores"":[{""score"":1,""losingScore"":null},{""score"":1,""losingScore"":null},null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":""DA""},{""players"":[{""playerId"":800749554,""nationality"":""GER"",""givenName"":""Noah Elias"",""familyName"":""Behrend"",""profileLink"":""/en/players/noah-elias-behrend/800749554/ger/jt/s/"",""hiddenPlayer"":false},null],""scores"":[{""score"":6,""losingScore"":null},{""score"":6,""losingScore"":null},null,null,null],""isWinner"":true,""seeding"":null,""tieNationCode"":null,""entryStatus"":""DA""}],""playStatusCode"":""PC"",""playStatusDesc"":""Played and completed"",""resultStatusDesc"":null,""resultStatusCode"":null,""MatchTypeCode"":null,""CircuitCode"":null}",2026-08-03T21:33:17.819Z
J-J100-BEL-2026-001,J100 Maaseik,J100,2026-08-03,2026-08-08,1100204004,1100707402,B,Boys,S,Singles,Q,Qualifying Draw,KO,Knock-out,,,,,,,,2nd Round,2,1183638987,PC,Played and completed,,,800854071,Lai Wei,CHN,,WC,800691233,Nicolas PAUMEN,BEL,,DA,2,Nicolas PAUMEN,0-6 0-6,https://www.itftennis.com/en/head-to-head/?circuitCode=jt&player1Id=800854071&player2Id=800691233,,"{""matchId"":1183638987,""h2hLink"":""/en/head-to-head/?circuitCode=jt&player1Id=800854071&player2Id=800691233"",""liveScoresLink"":"""",""teams"":[{""players"":[{""playerId"":800854071,""nationality"":""CHN"",""givenName"":""Lai"",""familyName"":""Wei"",""profileLink"":""/en/players/lai-wei/800854071/chn/jt/s/"",""hiddenPlayer"":false},null],""scores"":[{""score"":0,""losingScore"":null},{""score"":0,""losingScore"":null},null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":""WC""},{""players"":[{""playerId"":800691233,""nationality"":""BEL"",""givenName"":""Nicolas"",""familyName"":""PAUMEN"",""profileLink"":""/en/players/nicolas-paumen/800691233/bel/jt/s/"",""hiddenPlayer"":false},null],""scores"":[{""score"":6,""losingScore"":null},{""score"":6,""losingScore"":null},null,null,null],""isWinner"":true,""seeding"":null,""tieNationCode"":null,""entryStatus"":""DA""}],""playStatusCode"":""PC"",""playStatusDesc"":""Played and completed"",""resultStatusDesc"":null,""resultStatusCode"":null,""MatchTypeCode"":null,""CircuitCode"":null}",2026-08-03T21:33:17.819Z
J-J100-BEL-2026-001,J100 Maaseik,J100,2026-08-03,2026-08-08,1100204004,1100707402,B,Boys,S,Singles,Q,Qualifying Draw,KO,Knock-out,,,,,,,,2nd Round,2,1183638988,PC,Played and completed,,,800855892,Maximilian Albrecht,GER,,DA,800860486,Sverre Coussee,BEL,,DA,2,Sverre Coussee,1-6 1-6,https://www.itftennis.com/en/head-to-head/?circuitCode=jt&player1Id=800855892&player2Id=800860486,,"{""matchId"":1183638988,""h2hLink"":""/en/head-to-head/?circuitCode=jt&player1Id=800855892&player2Id=800860486"",""liveScoresLink"":"""",""teams"":[{""players"":[{""playerId"":800855892,""nationality"":""GER"",""givenName"":""Maximilian"",""familyName"":""Albrecht"",""profileLink"":""/en/players/maximilian-albrecht/800855892/ger/jt/s/"",""hiddenPlayer"":false},null],""scores"":[{""score"":1,""losingScore"":null},{""score"":1,""losingScore"":null},null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":""DA""},{""players"":[{""playerId"":800860486,""nationality"":""BEL"",""givenName"":""Sverre"",""familyName"":""Coussee"",""profileLink"":""/en/players/sverre-coussee/800860486/bel/jt/s/"",""hiddenPlayer"":false},null],""scores"":[{""score"":6,""losingScore"":null},{""score"":6,""losingScore"":null},null,null,null],""isWinner"":true,""seeding"":null,""tieNationCode"":null,""entryStatus"":""DA""}],""playStatusCode"":""PC"",""playStatusDesc"":""Played and completed"",""resultStatusDesc"":null,""resultStatusCode"":null,""MatchTypeCode"":null,""CircuitCode"":null}",2026-08-03T21:33:17.819Z
J-J100-BEL-2026-001,J100 Maaseik,J100,2026-08-03,2026-08-08,1100204004,1100707402,B,Boys,S,Singles,Q,Qualifying Draw,KO,Knock-out,,,,,,,,2nd Round,2,1183638989,PC,Played and completed,,,800630827,Jorge Tomas Herrera Sanchez,GER,,DA,800847562,Senne Baetens,BEL,,DA,1,Jorge Tomas Herrera Sanchez,6-1 6-2,https://www.itftennis.com/en/head-to-head/?circuitCode=jt&player1Id=800630827&player2Id=800847562,,"{""matchId"":1183638989,""h2hLink"":""/en/head-to-head/?circuitCode=jt&player1Id=800630827&player2Id=800847562"",""liveScoresLink"":"""",""teams"":[{""players"":[{""playerId"":800630827,""nationality"":""GER"",""givenName"":""Jorge Tomas"",""familyName"":""Herrera Sanchez"",""profileLink"":""/en/players/jorge-tomas-herrera-sanchez/800630827/ger/jt/s/"",""hiddenPlayer"":false},null],""scores"":[{""score"":6,""losingScore"":null},{""score"":6,""losingScore"":null},null,null,null],""isWinner"":true,""seeding"":null,""tieNationCode"":null,""entryStatus"":""DA""},{""players"":[{""playerId"":800847562,""nationality"":""BEL"",""givenName"":""Senne"",""familyName"":""Baetens"",""profileLink"":""/en/players/senne-baetens/800847562/bel/jt/s/"",""hiddenPlayer"":false},null],""scores"":[{""score"":1,""losingScore"":null},{""score"":2,""losingScore"":null},null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":""DA""}],""playStatusCode"":""PC"",""playStatusDesc"":""Played and completed"",""resultStatusDesc"":null,""resultStatusCode"":null,""MatchTypeCode"":null,""CircuitCode"":null}",2026-08-03T21:33:17.819Z
J-J100-BEL-2026-001,J100 Maaseik,J100,2026-08-03,2026-08-08,1100204004,1100707402,B,Boys,S,Singles,Q,Qualifying Draw,KO,Knock-out,,,,,,,,2nd Round,2,1183638990,PC,Played and completed,,,800701016,POL CHIESA PENALVER,ESP,,DA,800861236,Tuur Verjans,BEL,,DA,1,POL CHIESA PENALVER,6-4 6-3,https://www.itftennis.com/en/head-to-head/?circuitCode=jt&player1Id=800701016&player2Id=800861236,,"{""matchId"":1183638990,""h2hLink"":""/en/head-to-head/?circuitCode=jt&player1Id=800701016&player2Id=800861236"",""liveScoresLink"":"""",""teams"":[{""players"":[{""playerId"":800701016,""nationality"":""ESP"",""givenName"":""POL"",""familyName"":""CHIESA PENALVER"",""profileLink"":""/en/players/pol-chiesa-penalver/800701016/esp/jt/s/"",""hiddenPlayer"":false},null],""scores"":[{""score"":6,""losingScore"":null},{""score"":6,""losingScore"":null},null,null,null],""isWinner"":true,""seeding"":null,""tieNationCode"":null,""entryStatus"":""DA""},{""players"":[{""playerId"":800861236,""nationality"":""BEL"",""givenName"":""Tuur"",""familyName"":""Verjans"",""profileLink"":""/en/players/tuur-verjans/800861236/bel/jt/s/"",""hiddenPlayer"":false},null],""scores"":[{""score"":4,""losingScore"":null},{""score"":3,""losingScore"":null},null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":""DA""}],""playStatusCode"":""PC"",""playStatusDesc"":""Played and completed"",""resultStatusDesc"":null,""resultStatusCode"":null,""MatchTypeCode"":null,""CircuitCode"":null}",2026-08-03T21:33:17.819Z
J-J100-BEL-2026-001,J100 Maaseik,J100,2026-08-03,2026-08-08,1100204004,1100707402,B,Boys,S,Singles,Q,Qualifying Draw,KO,Knock-out,,,,,,,,2nd Round,2,1183638991,PC,Played and completed,,,800601488,Maxime Ioannatos,BEL,,DA,800815085,Gabriel Janse Van Vuuren,SUI,,DA,2,Gabriel Janse Van Vuuren,5-7 3-6,https://www.itftennis.com/en/head-to-head/?circuitCode=jt&player1Id=800601488&player2Id=800815085,,"{""matchId"":1183638991,""h2hLink"":""/en/head-to-head/?circuitCode=jt&player1Id=800601488&player2Id=800815085"",""liveScoresLink"":"""",""teams"":[{""players"":[{""playerId"":800601488,""nationality"":""BEL"",""givenName"":""Maxime"",""familyName"":""Ioannatos"",""profileLink"":""/en/players/maxime-ioannatos/800601488/bel/jt/s/"",""hiddenPlayer"":false},null],""scores"":[{""score"":5,""losingScore"":null},{""score"":3,""losingScore"":null},null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":""DA""},{""players"":[{""playerId"":800815085,""nationality"":""SUI"",""givenName"":""Gabriel"",""familyName"":""Janse Van Vuuren"",""profileLink"":""/en/players/gabriel-janse-van-vuuren/800815085/sui/jt/s/"",""hiddenPlayer"":false},null],""scores"":[{""score"":7,""losingScore"":null},{""score"":6,""losingScore"":null},null,null,null],""isWinner"":true,""seeding"":null,""tieNationCode"":null,""entryStatus"":""DA""}],""playStatusCode"":""PC"",""playStatusDesc"":""Played and completed"",""resultStatusDesc"":null,""resultStatusCode"":null,""MatchTypeCode"":null,""CircuitCode"":null}",2026-08-03T21:33:17.819Z
J-J100-BEL-2026-001,J100 Maaseik,J100,2026-08-03,2026-08-08,1100204004,1100707402,B,Boys,S,Singles,Q,Qualifying Draw,KO,Knock-out,,,,,,,,2nd Round,2,1183638992,PC,Played and completed,RET,Retired,800747643,Daniil Simdyashkin,GBR,,DA,800774331,Ermis Emmanuil Schmitt,GER,,DA,2,Ermis Emmanuil Schmitt,4-6 0-1,https://www.itftennis.com/en/head-to-head/?circuitCode=jt&player1Id=800747643&player2Id=800774331,,"{""matchId"":1183638992,""h2hLink"":""/en/head-to-head/?circuitCode=jt&player1Id=800747643&player2Id=800774331"",""liveScoresLink"":"""",""teams"":[{""players"":[{""playerId"":800747643,""nationality"":""GBR"",""givenName"":""Daniil"",""familyName"":""Simdyashkin"",""profileLink"":""/en/players/daniil-simdyashkin/800747643/gbr/jt/s/"",""hiddenPlayer"":false},null],""scores"":[{""score"":4,""losingScore"":null},{""score"":0,""losingScore"":null},null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":""DA""},{""players"":[{""playerId"":800774331,""nationality"":""GER"",""givenName"":""Ermis Emmanuil"",""familyName"":""Schmitt"",""profileLink"":""/en/players/ermis-emmanuil-schmitt/800774331/ger/jt/s/"",""hiddenPlayer"":false},null],""scores"":[{""score"":6,""losingScore"":null},{""score"":1,""losingScore"":null},null,null,null],""isWinner"":true,""seeding"":null,""tieNationCode"":null,""entryStatus"":""DA""}],""playStatusCode"":""PC"",""playStatusDesc"":""Played and completed"",""resultStatusDesc"":""Retired"",""resultStatusCode"":""RET"",""MatchTypeCode"":null,""CircuitCode"":null}",2026-08-03T21:33:17.819Z
J-J100-BEL-2026-001,J100 Maaseik,J100,2026-08-03,2026-08-08,1100204004,1100707402,B,Boys,S,Singles,Q,Qualifying Draw,KO,Knock-out,,,,,,,,2nd Round,2,1183638993,PC,Played and completed,,,800829165,Gabriel Ruiz Carrillo,ESP,,DA,800762876,Raphael Konschak,GER,,WC,2,Raphael Konschak,1-6 6-2 7-10,https://www.itftennis.com/en/head-to-head/?circuitCode=jt&player1Id=800829165&player2Id=800762876,,"{""matchId"":1183638993,""h2hLink"":""/en/head-to-head/?circuitCode=jt&player1Id=800829165&player2Id=800762876"",""liveScoresLink"":"""",""teams"":[{""players"":[{""playerId"":800829165,""nationality"":""ESP"",""givenName"":""Gabriel"",""familyName"":""Ruiz Carrillo"",""profileLink"":""/en/players/gabriel-ruiz-carrillo/800829165/esp/jt/s/"",""hiddenPlayer"":false},null],""scores"":[{""score"":1,""losingScore"":null},{""score"":6,""losingScore"":null},{""score"":7,""losingScore"":null},null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":""DA""},{""players"":[{""playerId"":800762876,""nationality"":""GER"",""givenName"":""Raphael"",""familyName"":""Konschak"",""profileLink"":""/en/players/raphael-konschak/800762876/ger/jt/s/"",""hiddenPlayer"":false},null],""scores"":[{""score"":6,""losingScore"":null},{""score"":2,""losingScore"":null},{""score"":10,""losingScore"":null},null,null],""isWinner"":true,""seeding"":null,""tieNationCode"":null,""entryStatus"":""WC""}],""playStatusCode"":""PC"",""playStatusDesc"":""Played and completed"",""resultStatusDesc"":null,""resultStatusCode"":null,""MatchTypeCode"":null,""CircuitCode"":null}",2026-08-03T21:33:17.819Z
