player_id,player_name,gender,country,birth_year,official_rank,live_rank,official_points,live_points,points_change_vs_official,detail_type,event_type,slot,source_type,tournament_name,category,round,start_date,points_raw,points_weighted,status,drop_info,raw
800570117,Jamie Mackenzie,M,GER,2008,3,1,2357,2413.25,56.25,BEST_COUNTING_RESULT,singles,1,BASE,J500 Milan,J500,WR,2026-05-18,500,500,,drop 2027-05-17,500 pts | BASE | J500 | WR | J500 Milan | 2026-05-18 | drop 2027-05-17
800570117,Jamie Mackenzie,M,GER,2008,3,1,2357,2413.25,56.25,BEST_COUNTING_RESULT,singles,2,BASE,J500 Offenbach,J500,WR,2026-05-04,500,500,,drop 2027-05-03,500 pts | BASE | J500 | WR | J500 Offenbach | 2026-05-04 | drop 2027-05-03
800570117,Jamie Mackenzie,M,GER,2008,3,1,2357,2413.25,56.25,BEST_COUNTING_RESULT,singles,3,BASE,Australian Open Junior Championships,JGS,QF,2026-01-24,300,300,,drop 2027-01-23,300 pts | BASE | JGS | QF | Australian Open Junior Championships | 2026-01-24 | drop 2027-01-23
800570117,Jamie Mackenzie,M,GER,2008,3,1,2357,2413.25,56.25,BEST_COUNTING_RESULT,singles,4,BASE,J300 Beijing,J300,WR,2025-09-16,300,300,,drop 2026-09-15,300 pts | BASE | J300 | WR | J300 Beijing | 2025-09-16 | drop 2026-09-15
800570117,Jamie Mackenzie,M,GER,2008,3,1,2357,2413.25,56.25,BEST_COUNTING_RESULT,singles,5,BASE,J300 Bamberg,J300,WR,2025-06-10,300,300,,drop 2026-06-09,300 pts | BASE | J300 | WR | J300 Bamberg | 2025-06-10 | drop 2026-06-09
800570117,Jamie Mackenzie,M,GER,2008,3,1,2357,2413.25,56.25,BEST_COUNTING_RESULT,singles,6,LIVE,Roland Garros Junior Championships,JGS,R16,2026-05-31,180,180,,drop,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31 | drop
800570117,Jamie Mackenzie,M,GER,2008,3,1,2357,2413.25,56.25,BEST_COUNTING_RESULT,doubles,1,BASE,US Open Junior Tennis Championships,JGS,SF,2025-08-31,367,91.75,,drop 2026-08-30,367 pts | BASE | JGS | SF | US Open Junior Tennis Championships | 2025-08-31 | drop 2026-08-30
800570117,Jamie Mackenzie,M,GER,2008,3,1,2357,2413.25,56.25,BEST_COUNTING_RESULT,doubles,2,BASE,J500 Osaka,J500,RU,2025-09-22,262,65.5,,drop 2026-09-21,262 pts | BASE | J500 | RU | J500 Osaka | 2025-09-22 | drop 2026-09-21
800570117,Jamie Mackenzie,M,GER,2008,3,1,2357,2413.25,56.25,BEST_COUNTING_RESULT,doubles,3,BASE,J300 Beijing,J300,WR,2025-09-16,225,56.25,,drop 2026-09-15,225 pts | BASE | J300 | WR | J300 Beijing | 2025-09-16 | drop 2026-09-15
800570117,Jamie Mackenzie,M,GER,2008,3,1,2357,2413.25,56.25,BEST_COUNTING_RESULT,doubles,4,BASE,J500 Merida,J500,SF,2025-11-24,187,46.75,,drop 2026-11-23,187 pts | BASE | J500 | SF | J500 Merida | 2025-11-24 | drop 2026-11-23
800570117,Jamie Mackenzie,M,GER,2008,3,1,2357,2413.25,56.25,BEST_COUNTING_RESULT,doubles,5,LIVE,Roland Garros Junior Championships,JGS,R16,2026-05-31,180,45,,drop,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31 | drop
800570117,Jamie Mackenzie,M,GER,2008,3,1,2357,2413.25,56.25,BEST_COUNTING_RESULT,doubles,6,BASE,J500 Offenbach,J500,QF,2026-05-04,112,28,,drop 2027-05-03,112 pts | BASE | J500 | QF | J500 Offenbach | 2026-05-04 | drop 2027-05-03
800570117,Jamie Mackenzie,M,GER,2008,3,1,2357,2413.25,56.25,DROPPED_RESULT,singles,,DROPPED,Roland Garros Junior Championships,JGS,R32,2025-06-01,90,90,confirmed_from_initial_breakdown,drop_date=2026-05-31; cutoff=2026-06-07; reason=drop_date_calculated_before_or_on_cutoff,"{""tournamentName"":""Roland Garros Junior Championships"",""category"":""JGS"",""drawType"":""M"",""hostNation"":""France"",""hostNationCode"":""FRA"",""startDate"":""01 Jun 2025"",""surfaceDesc"":""Clay"",""surfaceCode"":""C"",""round"":""R32"",""points"":90,""tournamentLink"":""/en/tournament/roland-garros-junior-championships/fra/2025/j-jgs-fra-2025-001/""}"
800570117,Jamie Mackenzie,M,GER,2008,3,1,2357,2413.25,56.25,DROPPED_RESULT,doubles,,DROPPED,Roland Garros Junior Championships,JGS,R32,2025-06-01,0,0,confirmed_from_initial_breakdown,drop_date=2026-05-31; cutoff=2026-06-07; reason=drop_date_calculated_before_or_on_cutoff,"{""tournamentName"":""Roland Garros Junior Championships"",""category"":""JGS"",""drawType"":""M"",""hostNation"":""France"",""hostNationCode"":""FRA"",""startDate"":""01 Jun 2025"",""surfaceDesc"":""Clay"",""surfaceCode"":""C"",""round"":""R32"",""points"":0,""tournamentLink"":""/en/tournament/roland-garros-junior-championships/fra/2025/j-jgs-fra-2025-001/""}"
800570117,Jamie Mackenzie,M,GER,2008,3,1,2357,2413.25,56.25,LIVE_WEEK_RESULT,doubles,,LIVE,Roland Garros Junior Championships,JGS,R16,2026-05-31,180,45,still_alive_or_champion,,"{""tournament_key"":""J-JGS-FRA-2026-001"",""tournament_name"":""Roland Garros Junior Championships"",""category"":""JGS"",""start_date"":""2026-05-31"",""end_date"":""2026-06-06"",""player_id"":""800570117"",""player_name"":""Jamie Mackenzie"",""nationality"":""GER"",""player_type_code"":""B"",""player_type_desc"":""Boys"",""event_type"":""doubles"",""event_classification"":""main_draw"",""matches_played"":""1"",""wins"":""1"",""losses"":""0"",""highest_round_order"":""2"",""highest_round_name"":""2nd Round"",""total_rounds_in_draw"":5,""calculated_round_label"":""R16"",""status"":""still_alive_or_champion"",""live_points_raw"":180,""live_points_weighted"":45,""collected_at"":""2026-06-03T03:36:09.875Z""}"
800570117,Jamie Mackenzie,M,GER,2008,3,1,2357,2413.25,56.25,LIVE_WEEK_RESULT,singles,,LIVE,Roland Garros Junior Championships,JGS,R16,2026-05-31,180,180,still_alive_or_champion,,"{""tournament_key"":""J-JGS-FRA-2026-001"",""tournament_name"":""Roland Garros Junior Championships"",""category"":""JGS"",""start_date"":""2026-05-31"",""end_date"":""2026-06-06"",""player_id"":""800570117"",""player_name"":""Jamie Mackenzie"",""nationality"":""GER"",""player_type_code"":""B"",""player_type_desc"":""Boys"",""event_type"":""singles"",""event_classification"":""main_draw"",""matches_played"":""2"",""wins"":""2"",""losses"":""0"",""highest_round_order"":""3"",""highest_round_name"":""3rd Round"",""total_rounds_in_draw"":6,""calculated_round_label"":""R16"",""status"":""still_alive_or_champion"",""live_points_raw"":180,""live_points_weighted"":180,""collected_at"":""2026-06-03T03:36:09.875Z""}"
800591535,Ksenia Efremova,F,FRA,2009,1,1,2718,2718,0,BEST_COUNTING_RESULT,singles,1,BASE,Australian Open Junior Championships,JGS,WR,2026-01-24,1000,1000,,drop 2027-01-23,1000 pts | BASE | JGS | WR | Australian Open Junior Championships | 2026-01-24 | drop 2027-01-23
800591535,Ksenia Efremova,F,FRA,2009,1,1,2718,2718,0,BEST_COUNTING_RESULT,singles,2,BASE,J500 Osaka,J500,WR,2025-09-22,500,500,,drop 2026-09-21,500 pts | BASE | J500 | WR | J500 Osaka | 2025-09-22 | drop 2026-09-21
